OTU	A_i04_O1	A_i11_M12	A_i20_O2	A_i32_O1	A_i19_M01	A_i23_M10	A_i25_M04	A_i27_O2	A_i31_M08	A_i03_M09	A_i08_M02	A_i14_M06	A_i14_M10	A_i26_O2	A_i04_M06	A_i22_M02	A_i32_M09	A_i04_O2	A_i12_M09	A_i24_O2	A_i28_O1	A_i31_M04	A_i09_M10	A_i14_O2	A_i19_M07	A_i06_M07	A_i21_M06	A_i26_M05	A_i01_O1	A_i05_M03	A_i11_M07	A_i06_M08	A_i07_M04	A_i18_M05	A_i03_M11	A_i23_O2	A_i27_M01	A_i27_M09	A_i30_M03	A_i05_O2	A_i20_O1	A_i21_O2	A_i28_M11	A_i29_M03	A_i02_M11	A_i10_O2	A_i21_M07	A_i25_M02	A_i31_M01	A_i02_M12	A_i09_M03	A_i09_O1	A_i23_M12	A_i03_M08	A_i21_M05	A_i26_M04	A_i31_O1	A_i06_O2	A_i15_M06	A_i07_O1	A_i09_M04	A_i07_M10	A_i14_O1	A_i23_O1	A_i09_M11	A_i31_M11	A_i26_M10	A_i28_M01	A_i19_O1	A_i14_M02	A_i16_O2	A_i07_M07	A_i12_M01	A_i19_M02	A_i06_M10	A_i06_O1	A_i07_M05	A_i23_M01	A_i07_M12	A_i20_M06	A_i28_M04	A_i06_M04	A_i30_O2	A_i06_M01	A_i18_M01	A_i19_M12	A_i25_O1	A_i30_M04	A_i27_M05	A_i27_O1	A_i32_O2	A_i07_M08	A_i09_O2	A_i31_O2	A_i18_O2	A_i27_M04	A_i30_O1	A_i28_M05	A_i12_M10	A_i18_M06	A_i20_M11	A_i32_M05	A_i02_M03	A_i11_M08	A_i05_M09	A_i04_M08	A_i14_M05	A_i16_M03	A_i24_O1	A_i25_M01	A_i07_M06	A_i01_M04	A_i23_M09	A_i04_M11	A_i23_M05	A_i07_M01	A_i26_M12	A_i21_O1	A_i16_M07	A_i19_M10	A_i05_M11	A_i29_M01	A_i06_M05	A_i18_M11	A_i15_M08	A_i15_M12	A_i04_M03	A_i25_M07	A_i16_M01	A_i18_O1	A_i21_M10	A_i10_M11	A_i07_M11	A_i29_O2	A_i15_M10	A_i10_M06_2	A_i23_M11	A_i27_M08	A_i12_M12	A_i10_M01	A_i14_M12	A_i11_M03	A_i24_M03	A_i28_M03	A_i08_M01	A_i26_M11	A_i04_M10	A_i27_M10	A_i32_M01	A_i02_M07	A_i19_M06	A_i15_M09	A_i18_M10	A_i05_M06	A_i11_M01	A_i06_M12	A_i24_M01	A_i12_M04	A_i24_M06	A_i30_M02	A_i08_M09	A_i14_M01	A_i22_M06	A_i19_M08	A_i12_O2	A_i32_M03	A_i18_M08	A_i08_M11	A_i21_M04	A_i15_M05	A_i01_M10	A_i22_M03	A_i17_M07	A_i31_M02	A_i03_M04	A_i05_M12	A_i26_M09	A_i16_M04	A_i10_M05	A_i28_M06	A_i22_M07	A_i27_M11	A_i11_M05	A_i15_M04	A_i22_M08	A_i29_M09	A_i02_M02	A_i12_M02	A_i06_M02	A_i15_M11	A_i05_M08	A_i18_M09	A_i16_M11	A_i01_M05	A_i27_M03	A_i07_M03	A_i20_M03	A_i32_M10	A_i26_M02	A_i30_M05	A_i19_M05	A_i20_M02	A_i16_M12	A_i18_M04	A_i24_M05	A_i30_M01	A_i10_M04	A_i12_M11	A_i28_M07	A_i03_M07	A_i18_M03	A_i09_M02	A_i03_M01	A_i09_M08	A_i31_M03	A_i29_M04	A_i22_M10	A_i09_M05	A_i27_M06	A_i05_M02	A_i02_M04	A_i24_M04	A_i26_M07
cb42bb4821249ac864067ac87d1c1512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.32142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.03619381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.74455838	0	0	0
ceb1072b32f942ffb8de75d814f40e43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036409029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.73551323
89c32f6edf292c4b26e5fa18d97c5abd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.10377358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.41279371	0
9c063bea02a54ab0ae7c3c0e9311c8ce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.546744762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.24932194	0	0	0	0	0	0	0
6265960fab1f14e1448f54905bb7ba13	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.60969823	0	0	0	0	0	0
53180bbc60e9a2d4a231c6ebcc03937c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.821046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.84967051	0	0	0	0	0	0	0	0	0	0
d7151924984c95f737e821af3dbef692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.31532984	0	0	0	0	0	0	0	0
3a0ac8e1c352dd3ef528478f071b8573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.08917197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.65345944	0	0	0	0	0	0	0	0	0	0	0	0
a7923249e33e9f1b5ecaa8c58f98f7ba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	57.39910314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.28798389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cca423e1a0fd0f6b639c96edc9704445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.37492124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.3733565	0	0	0	0	0	0	0	0	0	0	0	0	0
0fe6f0a38795acea6bf2fba70b48409a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.373532551	0	0	0	0	0	0	0	0	0	0	0	0	0	1.585477941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.81371812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98619ab956a3815c315936bbd06843bb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.34615385	81.48148148	0	0	0	0	0	0	4.06779661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241960319	0	0	0	0	0	0	0	0	0	0	91.58071115	0	0	0.277406975	0	0	0	0	0	0	0	0	0	0	0
084a126ee076c8d06da3a9e2b06e65ce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.451715297	0	0	0	0	96.480817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
