	A_i01_M01	A_i01_M02	A_i01_M03	A_i01_M04	A_i01_M05	A_i01_M06	A_i01_M07	A_i01_M08	A_i01_M09	A_i01_M10	A_i01_M11	A_i01_M12	A_i01_O1	A_i02_M01	A_i02_M02	A_i02_M03	A_i02_M04	A_i02_M05	A_i02_M06	A_i02_M07	A_i02_M08	A_i02_M09	A_i02_M10	A_i02_M11	A_i02_M12	A_i02_O1	A_i02_O2	A_i03_M01	A_i03_M02	A_i03_M03	A_i03_M04	A_i03_M05	A_i03_M06	A_i03_M07	A_i03_M08	A_i03_M09	A_i03_M10	A_i03_M11	A_i03_M12	A_i03_O1	A_i04_M01	A_i04_M02	A_i04_M03	A_i04_M04	A_i04_M05	A_i04_M06	A_i04_M07	A_i04_M08	A_i04_M09	A_i04_M10	A_i04_M11	A_i04_M12	A_i04_O1	A_i04_O2	A_i05_M01	A_i05_M02	A_i05_M03	A_i05_M04	A_i05_M05	A_i05_M06	A_i05_M07	A_i05_M08	A_i05_M09	A_i05_M10	A_i05_M11	A_i05_M12	A_i05_O1	A_i05_O2	A_i06_M01	A_i06_M02	A_i06_M03	A_i06_M04	A_i06_M05	A_i06_M07	A_i06_M08	A_i06_M09	A_i06_M10	A_i06_M11	A_i06_M12	A_i06_O1	A_i06_O2	A_i07_M01	A_i07_M02	A_i07_M03	A_i07_M04	A_i07_M05	A_i07_M06	A_i07_M07	A_i07_M08	A_i07_M09	A_i07_M10	A_i07_M11	A_i07_M12	A_i07_O1	A_i07_O2	A_i08_M01	A_i08_M02	A_i08_M03	A_i08_M04	A_i08_M05	A_i08_M06	A_i08_M07	A_i08_M08	A_i08_M09	A_i08_M10	A_i08_M11	A_i08_M12	A_i08_O1	A_i08_O2	A_i09_M01	A_i09_M02	A_i09_M03	A_i09_M04	A_i09_M05	A_i09_M06	A_i09_M07	A_i09_M08	A_i09_M09	A_i09_M10	A_i09_M11	A_i09_M12	A_i09_O1	A_i09_O2	A_i10_M01	A_i10_M02	A_i10_M03	A_i10_M04	A_i10_M05	A_i10_M07	A_i10_M08	A_i10_M09	A_i10_M10	A_i10_M11	A_i10_M12	A_i10_M6_1	A_i10_M6_2	A_i10_O1	A_i10_O2	A_i11_M01	A_i11_M02	A_i11_M03	A_i11_M04	A_i11_M05	A_i11_M06	A_i11_M07	A_i11_M08	A_i11_M09	A_i11_M10	A_i11_M11	A_i11_M12	A_i11_O1	A_i12_M01	A_i12_M02	A_i12_M03	A_i12_M04	A_i12_M05	A_i12_M06	A_i12_M07	A_i12_M08	A_i12_M09	A_i12_M10	A_i12_M11	A_i12_M12	A_i12_O2	A_i13_M03	A_i14_M01	A_i14_M02	A_i14_M03	A_i14_M04	A_i14_M05	A_i14_M06	A_i14_M07	A_i14_M08	A_i14_M09	A_i14_M10	A_i14_M11	A_i14_M12	A_i14_O1	A_i14_O2	A_i15_M01	A_i15_M02	A_i15_M04	A_i15_M05	A_i15_M06	A_i15_M07	A_i15_M08	A_i15_M09	A_i15_M10	A_i15_M11	A_i15_M12	A_i15_O2	A_i16_M01	A_i16_M02	A_i16_M03	A_i16_M04	A_i16_M05	A_i16_M06	A_i16_M07	A_i16_M08	A_i16_M09	A_i16_M10	A_i16_M11	A_i16_M12	A_i16_O1	A_i16_O2	A_i17_M07	A_i18_M01	A_i18_M02	A_i18_M03	A_i18_M04	A_i18_M05	A_i18_M06	A_i18_M08	A_i18_M09	A_i18_M10	A_i18_M11	A_i18_M12	A_i18_O1	A_i18_O2	A_i19_M01	A_i19_M02	A_i19_M03	A_i19_M04	A_i19_M05	A_i19_M06	A_i19_M07	A_i19_M08	A_i19_M09	A_i19_M10	A_i19_M11	A_i19_M12	A_i19_O1	A_i19_O2	A_i20_M01	A_i20_M02	A_i20_M03	A_i20_M04	A_i20_M05	A_i20_M06	A_i20_M07	A_i20_M08	A_i20_M09	A_i20_M10	A_i20_M11	A_i20_M12	A_i20_O1	A_i20_O2	A_i21_M01	A_i21_M02	A_i21_M03	A_i21_M04	A_i21_M05	A_i21_M06	A_i21_M07	A_i21_M08	A_i21_M09	A_i21_M10	A_i21_M11	A_i21_M12	A_i21_O1	A_i21_O2	A_i22_M01	A_i22_M02	A_i22_M03	A_i22_M04	A_i22_M05	A_i22_M06	A_i22_M07	A_i22_M08	A_i22_M09	A_i22_M10	A_i22_M11	A_i22_M12	A_i22_O1	A_i22_O2	A_i23_M01	A_i23_M02	A_i23_M03	A_i23_M04	A_i23_M05	A_i23_M06	A_i23_M07	A_i23_M08	A_i23_M09	A_i23_M10	A_i23_M11	A_i23_M12	A_i23_O1	A_i23_O2	A_i24_M01	A_i24_M02	A_i24_M03	A_i24_M04	A_i24_M05	A_i24_M06	A_i24_M07	A_i24_M08	A_i24_M09	A_i24_M1_2	A_i24_M10	A_i24_M11	A_i24_M12	A_i24_O1	A_i24_O2	A_i25_M01	A_i25_M02	A_i25_M03	A_i25_M04	A_i25_M05	A_i25_M06	A_i25_M07	A_i25_M08	A_i25_M09	A_i25_M10	A_i25_M11	A_i25_M12	A_i25_O1	A_i25_O2	A_i26_M01	A_i26_M02	A_i26_M03	A_i26_M04	A_i26_M05	A_i26_M06	A_i26_M07	A_i26_M08	A_i26_M09	A_i26_M10	A_i26_M11	A_i26_M12	A_i26_O1	A_i26_O2	A_i27_M01	A_i27_M02	A_i27_M03	A_i27_M04	A_i27_M05	A_i27_M06	A_i27_M07	A_i27_M08	A_i27_M09	A_i27_M10	A_i27_M11	A_i27_M12	A_i27_O1	A_i27_O2	A_i28_M01	A_i28_M02	A_i28_M03	A_i28_M04	A_i28_M05	A_i28_M06	A_i28_M07	A_i28_M08	A_i28_M09	A_i28_M10	A_i28_M11	A_i28_M12	A_i28_O1	A_i28_O2	A_i29_M01	A_i29_M02	A_i29_M03	A_i29_M04	A_i29_M05	A_i29_M06	A_i29_M08	A_i29_M09	A_i29_M10	A_i29_M11	A_i29_M12	A_i29_O1	A_i29_O2	A_i30_M01	A_i30_M02	A_i30_M03	A_i30_M04	A_i30_M05	A_i30_M06	A_i30_M07	A_i30_M08	A_i30_M09	A_i30_M10	A_i30_M11	A_i30_M12	A_i30_O1	A_i30_O2	A_i31_M01	A_i31_M02	A_i31_M03	A_i31_M04	A_i31_M05	A_i31_M06	A_i31_M07	A_i31_M08	A_i31_M09	A_i31_M10	A_i31_M11	A_i31_M12	A_i31_O1	A_i31_O2	A_i32_M01	A_i32_M02	A_i32_M03	A_i32_M04	A_i32_M05	A_i32_M06	A_i32_M07	A_i32_M08	A_i32_M09	A_i32_M10	A_i32_M11	A_i32_M12	A_i32_O1	A_i32_O2	A_Mock	A_Mock_Arch	A_Mock_Arch1	A_Mock1	A_NC_batch1_4	A_NC_batch5_8	A_NC_batch9_12	A_NC_batchO13_16	A_NC_batchO16	A_NC_O1_2	A_NC_O1	A_NC_pre	A_NC_V1_O1	A_NC_V2_O2	A_PC	Neg_Swab1	NegA_O	NegA_Swab3
06f825b512d903b9230e1a55d87359ee	27971	1728	12565	7835	133	23579	22484	18405	868	65	18493	3596	22981	4644	101	97	244	6461	363	243	975	1579	10330	3004	12198	52	8664	2039	2237	1561	113	24173	676	5530	20631	6043	1224	15953	14641	29863	22387	187	56	25950	737	31657	1545	24761	24095	2304	1452	220	87	46295	94	379	5036	25733	2382	196	4434	2338	20710	7589	4253	232	1715	5198	1395	233	1084	11773	257	20636	5828	2643	32136	11448	1099	33	2443	22050	56	9893	4488	2818	82	1172	8183	15218	3907	462	4686	262	35931	398	5228	19555	211	28191	4823	5029	13658	682	7889	135	9490	35	5067	8377	926	6317	18237	1374	17722	4036	332	2274	14779	2205	5420	37	19962	277	23624	92	384	113	9618	24	23520	18094	1352	21544	8178	1797	153	30516	68	668	746	3285	113	1461	209	198	1191	2314	2016	292	13	13997	65	21554	161	3284	19003	12109	14093	6210	14301	1300	182	9461	1085	5883	24805	18318	758	3411	21737	32240	20503	23070	7343	18535	407	63	18144	15962	19322	224	217	30367	25334	29841	278	259	83	2076	15030	170	47480	27706	344	32222	892	3015	7825	744	1882	355	1183	78	3258	105	719	2678	462	48	23833	24675	397	2423	70	100	144	59	2402	24280	25050	32846	20881	559	802	1042	643	17921	311	22261	71	54	3263	398	22	620	9818	4973	157	1658	5525	18027	362	161	57	2115	2534	23534	7846	18905	741	7178	16948	16652	8175	727	5321	452	45467	39	42574	7962	848	92	33756	16406	536	617	314	4810	596	8749	59	11	35937	36556	1091	18305	9332	27984	22876	23392	27002	1411	1118	24	15066	77	20823	746	14736	569	3539	8992	3002	11278	135	264	145	4320	8620	7852	87	21104	38	1539	2109	5886	7980	13935	79	15561	18986	16516	1063	3232	129	32293	5719	2242	16528	6929	13516	21852	1001	7127	1404	190	87	727	41	22052	913	4451	2709	304	28065	4801	23301	461	3412	64	84	396	18	16071	46660	35093	2840	32807	306	309	306	9532	11792	24749	31067	23539	0	30452	185	35845	23133	2031	18489	26866	974	1001	44	389	189	0	22866	626	43	13842	42574	357	39906	37908	24377	359	655	70	241	38	8855	1416	106	1170	1428	4230	439	83	2418	40	1464	17840	11448	0	7574	330	19625	71	4606	28559	31580	1804	29333	9011	844	4614	2292	1782	10336	0	0	0	48	49	398	85	49	58	8	0	5	5	0	90	0	0	16
923f521b9cf313f1f95c9367e09bbc1c	6	0	16584	2191	21	3399	2519	3881	97	0	231	0	0	27	0	0	32	8805	0	0	552	141	1533	20	0	0	0	0	191	0	0	1391	234	492	2741	165	49	4930	485	0	12	0	0	0	0	0	0	0	2565	36	63	0	0	0	27	20	9	451	341	0	0	0	408	974	281	19	0	0	0	0	0	0	0	3973	110	162	2062	531	109	0	52	1342	4	510	85	442	155	4651	5244	7511	1708	240	1770	0	0	0	1820	7442	19	3761	6611	5803	1787	103	2793	10	1122	0	0	294	0	13	0	0	53	0	0	0	0	0	61	0	0	20	128	11	10	19	23	0	0	63	0	129	453	66	0	0	0	0	0	783	0	416	543	18	539	1345	9821	467	0	35	0	0	6	144	3525	1783	1181	413	352	41	0	20	0	0	0	994	130	114	1478	896	3058	689	590	927	0	0	0	2002	141	6	0	29	473	909	0	0	0	117	0	17	0	69	0	351	162	72	715	43	1605	126	359	0	0	14	0	124	0	0	1833	946	11	32	13	0	0	0	0	2597	695	236	1178	19	37	21	22	747	0	724	6	16	0	0	10	333	24121	7665	72	0	4074	2729	278	16	16	9497	0	0	0	628	0	637	1386	1768	14971	74	0	0	0	0	0	0	284	8	1277	0	111	62	18	8281	75	2065	0	0	0	89	23	476	202	1114	1702	213	1122	18	33	0	868	0	0	42	1942	62	364	40	190	215	26	116	51	3904	660	149	0	0	24	0	18	1629	9196	9495	41	1982	2596	759	243	755	0	0	2017	1282	19319	1281	1278	3949	0	428	0	0	0	0	5	0	0	0	0	0	17	31	1119	15	8	0	36	15	0	0	1033	155	333	105	7	0	8	138	119	8721	1086	1092	0	0	19	361	1243	404	747	1909	584	21	13	135	52	0	11	0	0	77	72	23	58	2398	1507	41	62	6	27	0	15	193	0	175	12762	9681	556	275	11799	17	15749	10435	9107	0	0	6	0	0	159	54	248	53	758	627	19	351	40	86	0	0	0	0	15	0	48	0	0	6	3	0	0	0	0	1511	0	0	0
85c44c83eddc5d3028261a1000b7d0e1	2899	64	2299	1260	0	1148	320	256	10	0	199	425	460	29	0	5	4	408	0	13	118	140	854	123	2055	66	10473	50	33	0	9	425	18	201	3301	457	127	2461	1729	0	8322	18	11	3246	135	1190	139	3372	3112	356	170	35	0	0	18	29	125	1284	260	14	511	285	2835	1235	1184	8	0	43	9	9	189	771	20	21	8	84	1899	1011	67	45	10388	110	3	11	266	97	5	41	1129	947	259	15	135	0	86	28	341	2049	22	1225	159	64	1155	162	525	0	823	0	2178	2422	20	649	4737	70	1704	309	18	292	1212	235	1021	42	9168	24	2089	0	14	0	1365	0	2798	1137	139	3660	1270	188	0	7	0	90	48	65	6	373	5	13	86	515	284	49	6	15981	5	6505	0	562	1381	971	2172	1354	2024	198	11	951	54	134	640	2353	65	782	3807	2430	3301	2468	1716	2794	24	31	62	2262	3645	0	10	4409	3432	5407	14	11	3	267	1268	12	2583	3397	18	1507	66	218	876	127	169	27	165	0	1302	2	2	182	12	0	373	1684	21	144	12	8	22	0	939	2765	954	1011	1937	20	32	105	6	2649	17	1359	5	0	1393	86	0	49	902	877	17	31	1403	3178	46	14	3	86	0	10058	650	557	24	367	1138	1013	804	64	348	42	1342	0	0	1173	123	0	358	1272	65	105	13	765	22	1249	0	0	0	637	66	231	450	2055	1316	3267	2477	276	117	0	2106	0	4843	40	610	18	58	825	258	1487	12	41	29	745	1078	1698	0	13020	6	46	0	127	41	96	3	867	1777	2823	89	291	0	2857	36	47	379	468	295	747	46	426	147	27	0	134	0	12	81	215	99	41	5962	120	2917	26	518	0	15	163	0	55	1029	1109	109	674	8	11	17	1723	1214	3157	5618	3310	0	927	6	1528	1478	42	346	1771	157	89	5	13	23	0	10815	15	0	169	1924	8	2773	3177	1759	134	70	0	20	0	11047	113	8	60	542	488	50	20	758	0	194	3616	2170	2	821	7	370	0	271	400	4279	146	703	1110	42	2299	77	181	1354	0	0	0	0	0	88	0	0	0	12	0	0	0	0	9	0	0	0
56bde454092279f47b556883d5909620	0	0	0	0	0	463	524	723	0	0	2047	441	0	0	0	0	726	10071	64	0	273	112	424	0	1014	0	0	0	415	632	0	6243	692	975	1962	472	397	5527	2012	0	0	0	0	0	0	364	0	325	535	0	90	0	0	0	0	103	891	4368	933	41	215	95	1142	1785	967	0	0	0	0	0	0	0	0	6432	2196	144	1816	644	144	0	6002	0	0	0	0	3187	103	1422	5613	3313	1913	251	1749	0	0	0	136	0	0	4622	5533	3396	2630	3283	5034	0	314	0	0	0	80	0	0	0	0	174	0	133	0	323	468	0	0	0	9343	45	64	0	0	0	421	396	0	0	0	0	0	0	0	250	0	9368	0	1999	298	0	501	3562	13374	299	0	0	0	1484	0	110	1083	675	209	0	399	0	0	0	0	225	0	0	0	0	1538	1513	775	659	2230	652	0	0	0	0	0	0	0	301	1061	2211	0	0	0	118	0	0	0	380	0	1126	322	223	1318	0	447	148	332	0	0	0	0	0	0	0	234	3903	0	197	0	0	0	0	0	9252	2567	6773	2261	0	87	0	0	396	0	730	0	0	0	0	0	50	382	224	0	0	1074	0	0	0	0	262	0	0	0	0	0	0	6939	2980	2492	0	333	0	0	0	0	0	0	0	0	1322	441	0	83	12407	194	916	0	0	0	0	0	0	0	11097	9931	3687	2937	0	315	0	3548	0	0	146	0	146	0	0	912	1277	0	38	0	575	661	1905	0	0	0	1224	371	2481	11707	4624	0	4227	4750	2041	0	971	0	0	0	343	818	318	305	1088	133	1728	100	0	0	87	0	0	0	0	0	0	3257	151	2506	0	0	0	0	0	0	1506	0	0	353	1049	0	0	187	794	118	2631	712	255	0	263	0	1854	2541	518	564	807	422	0	0	102	0	0	0	0	0	0	789	0	0	928	1744	100	0	0	0	0	0	176	0	231	2978	8881	1053	379	6193	0	1518	3863	630	0	0	0	0	0	0	393	1802	69	2384	450	55	0	166	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0
b022b5312f30be684bdd2cc66030dea5	0	0	34	0	0	20	0	7693	1096	0	661	0	18	0	0	0	0	455	0	0	15	232	2624	0	250	0	0	212	0	38	7	69	0	0	1925	92	0	1383	124	0	12	0	0	0	0	0	0	322	700	273	120	5	0	0	0	0	0	418	0	0	0	52	347	458	839	8	0	0	0	0	0	0	0	0	0	0	4312	1725	175	0	0	0	0	0	0	282	0	0	0	0	0	0	113	0	0	0	0	0	0	0	852	2311	11700	0	0	0	457	0	0	65	0	0	1529	136	5536	1442	0	348	1403	154	0	0	0	0	0	0	0	0	223	0	527	2135	261	613	5144	104	0	0	0	0	116	308	11	0	0	50	144	286	67	46	0	641	5	3373	6	100	9065	4830	5751	2257	1630	628	44	0	8	0	41	1027	190	218	1241	543	6770	480	181	1015	24	9	0	458	513	0	0	2771	1530	823	0	26	0	47	0	32	499	2286	32	3331	71	164	309	0	294	0	169	0	0	0	0	40	0	0	0	0	0	0	0	0	24	0	0	207	11	24	0	92	96	553	203	18554	34	9024	0	0	0	741	0	56	1708	333	20	10	8774	2179	12	20	15	0	0	6598	0	1506	6	2904	2896	655	635	9	319	78	387	0	0	0	85	68	3135	1813	19	101	24	653	54	303	0	0	0	341	62	84	10	113	156	11	110	332	28	0	1311	0	0	16	0	0	0	0	738	5383	84	167	0	901	1824	2012	0	0	7	31	0	643	0	749	0	3620	4415	3615	78	222	0	0	473	282	5418	5416	4151	2576	131	1764	280	32	0	126	0	0	0	0	0	0	32	41	123	23	32	12	0	23	0	0	3773	251	8	3083	6	21	23	839	451	1402	3571	10369	0	0	18	459	9375	353	11223	3631	371	234	6	16	20	0	8319	8	0	10	274	30	5004	2728	1913	27	20	0	0	0	0	188	0	154	1212	859	375	0	1296	8	975	2365	7458	0	1901	0	12	0	311	6442	579	47	1791	606	24	1072	591	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
fd496fd32dc8c08ade2e8b6c9d8ee13d	1680	117	544	358	19	433	0	14	0	0	31	0	0	2716	24	0	0	6973	0	0	146	0	500	85	745	0	0	182	406	102	16	3748	354	414	1317	156	131	660	547	10	0	0	0	0	0	328	25	66	3217	87	57	6	0	0	0	10	0	17	15	0	0	11	67	209	94	10	0	27	0	0	0	0	0	5097	36	103	707	190	27	27	0	1239	23	3929	110	4871	84	3084	3364	7477	2274	342	2643	0	0	28	1457	7757	14	1648	2388	1714	1124	751	1738	23	1043	0	90	0	0	105	0	16	24	99	21	26	127	341	729	0	0	66	68	0	0	7	32	0	24	384	26	167	21	0	19	0	0	0	0	47	0	270	368	0	417	1367	12466	497	0	0	0	0	0	85	394	1674	2142	482	1169	77	0	557	0	0	2699	71	12	0	1053	1410	910	776	47	664	11	29	0	507	64	0	0	161	1490	2983	0	0	0	156	37	27	57	873	21	687	145	78	901	31	715	129	586	0	748	12	0	0	0	14	374	3015	19	150	12	7	0	0	0	47	0	34	0	6	39	0	13	117	0	136	0	0	59	1779	0	90	198	157	39	240	1550	2447	277	22	0	3142	12021	0	71	310	0	249	1140	1156	1207	9	27	0	0	0	13	78	216	0	810	764	115	19	12	6335	20	2548	25	0	0	1591	96	843	154	65	0	625	1379	0	372	0	1568	0	463	308	371	0	15	112	263	404	0	48	24	1805	914	792	15	1164	12	38	10	583	3419	1685	19	1489	1574	246	22	148	25	1668	4322	1428	1113	428	81	125	45	461	210	16	16	41	0	9518	123	17	0	0	32	19	235	12	17	0	23	27	0	16	230	290	40	0	17	0	65	579	442	2148	424	254	24	155	0	111	0	0	0	1223	200	8	0	175	25	0	470	0	0	38	337	0	42	590	888	11	13	0	31	0	988	575	0	97	7312	10483	2067	163	4540	0	4836	5445	1021	16	4103	0	0	0	177	0	201	15	654	32	16	576	93	583	105	0	0	0	0	0	0	0	0	0	0	43	0	0	0	64	29	0	79
942ec60e75a4f9183b9b69cbf8960379	0	0	0	0	0	2086	527	685	217	0	1806	566	0	0	0	0	0	291	0	13	38	253	967	1062	1418	0	0	53	0	8	9	435	26	219	2809	562	83	1081	847	0	14	0	0	0	0	3446	29	1620	1446	135	104	0	0	0	0	0	0	7	0	0	1115	249	2119	1019	213	12	0	0	0	0	0	0	0	0	0	53	1148	632	78	0	0	0	0	0	0	0	0	16	332	864	295	0	253	0	0	0	0	31	0	6	115	407	2215	0	68	0	342	0	0	11	47	171	1105	105	3741	895	16	517	2963	70	103	0	0	0	0	0	0	4	3333	0	7189	3157	208	1840	1599	125	0	0	0	0	7	18	0	16	0	9	51	177	53	0	0	0	0	0	0	14	1701	1482	0	207	2186	358	14	0	0	0	0	380	50	204	1616	3160	1611	3068	1340	1870	27	0	0	0	0	0	13	0	1381	2017	23	13	0	207	0	11	23	731	0	535	66	175	1536	92	114	29	152	0	0	0	5	0	0	0	77	0	0	0	0	0	22	0	0	585	0	148	45	0	19	44	19	986	17	2160	0	0	0	0	0	0	224	80	0	115	2453	4127	25	7	0	0	0	0	0	0	0	531	1944	1554	487	33	546	54	1928	0	0	0	0	10	0	358	13	0	0	187	0	704	10	0	0	0	12	29	0	0	29	1165	1059	107	68	0	1924	0	0	12	44	0	22	67	407	2107	0	59	0	499	1272	878	0	0	0	0	0	971	200	580	0	0	0	348	21	447	0	0	12	0	67	889	290	1433	34	789	128	11	0	106	0	0	0	0	0	0	0	29	210	24	366	11	20	19	0	0	147	0	0	1234	8	18	11	827	914	2354	3391	4072	0	0	0	537	2669	79	3239	3831	145	92	0	0	0	0	0	0	0	166	491	16	1046	2473	1308	28	36	0	30	0	201	0	0	21	338	347	68	0	171	0	58	600	1489	0	0	0	0	0	0	655	2972	142	751	575	53	1046	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4f5efd25dacb5d639316e7291ff6ff8b	0	0	0	52	0	942	819	1594	93	15	6409	141	0	0	0	0	0	219	0	0	44	172	1144	16	1006	0	0	178	0	121	20	9	0	0	262	78	0	432	123	0	0	0	0	316	5	10	11	1308	51	39	56	9	0	0	0	0	0	15	349	6	282	113	1334	2666	2264	38	0	246	0	0	0	0	0	0	12	42	408	1213	65	0	0	0	0	0	0	11	0	0	282	0	0	0	68	0	0	0	0	16	2	0	0	59	51	0	0	0	0	0	0	0	0	172	219	511	11049	1216	74	781	3761	0	81	0	0	0	6	0	0	0	338	0	385	243	36	200	0	16	0	0	0	12	4	0	0	0	0	0	29	758	782	340	0	6	0	0	0	361	220	2160	282	3339	584	0	0	431	0	0	0	1759	0	440	77	757	2732	1920	1356	1304	5	0	0	0	0	0	0	0	3316	102	0	18	4	117	0	0	0	0	0	44	0	0	16	6	0	5	64	0	0	0	0	0	0	0	0	0	4	0	0	4	3	0	0	77	0	0	3	0	0	7	7	341	0	3225	5	0	0	0	0	0	72	0	40	0	7154	729	128	0	10	0	0	0	0	0	0	0	26	99	393	40	432	32	657	0	0	0	0	17	0	0	0	6	5	782	0	427	0	0	0	0	5	0	0	0	64	0	47	4	28	0	4811	0	69	0	0	31	330	400	1101	2239	34	299	45	14748	6444	3104	0	0	0	0	0	0	0	0	0	0	0	667	37	358	0	214	0	19	89	1483	44	7267	276	8786	189	8	50	182	0	0	0	0	0	0	1906	21	633	0	56	0	15	22	0	125	0	3	45	892	0	0	0	55	410	365	612	381	0	0	0	13	707	40	3253	2831	324	94	0	0	0	0	0	0	0	12	0	36	29	681	197	22	0	4	0	0	0	0	9	0	0	99	0	12	807	4	363	594	1149	0	0	0	0	0	0	1525	1317	65	333	171	61	230	0	78	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0
edc9e5c16e40aff1eadce6597940f08f	1069	70	2227	1839	36	466	544	602	0	0	56	0	0	48	0	0	0	0	0	0	105	29	821	206	1806	0	0	0	0	0	0	0	0	0	157	36	53	259	380	42	2583	0	9	134	0	305	45	0	2080	57	0	0	0	682	0	0	0	0	0	0	0	0	0	0	234	0	0	0	312	0	0	1252	17	0	0	0	33	53	0	0	5796	0	38	7169	134	3450	0	0	0	198	0	0	76	0	237	0	137	760	0	2200	0	626	237	159	943	0	235	0	0	0	0	0	0	0	55	170	0	0	20	282	213	21	0	0	0	0	0	0	0	0	19	127	31	233	0	0	0	0	0	0	0	0	0	0	23	0	129	427	1455	138	0	0	0	0	0	61	99	726	1295	265	620	27	0	159	0	894	7686	470	0	132	560	116	387	437	913	820	0	12	0	0	0	0	0	25	154	455	0	0	0	27	0	0	0	83	0	0	0	0	33	0	38	0	144	0	91	0	81	748	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	108	0	0	0	0	15	210	2035	2428	18	39	960	3173	279	0	0	2959	0	421	0	746	0	435	87	0	40	0	237	0	62	0	69	2405	31	0	597	0	0	14	0	348	21	522	0	0	569	0	0	991	217	84	0	400	498	0	0	0	1417	117	0	124	413	0	192	273	410	550	0	38	0	1164	845	1541	28	37	0	0	0	0	0	0	0	645	658	310	16	708	0	22	2397	355	642	300	306	1701	36	578	23	0	0	39	0	0	0	0	0	0	0	36	1344	0	0	0	0	0	53	19548	0	0	100	0	0	0	0	0	28	570	23	0	0	39	0	194	0	0	87	380	35	0	0	79	0	0	74	0	0	34	585	18	376	539	341	0	0	0	15	0	13	112	0	0	2711	2908	612	44	1809	0	1047	1056	996	35	270	0	0	0	90	0	58	0	37	0	0	17	0	141	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	16	0	0	0
ca9c66d47347c03d0343d6fe03ed8636	0	0	0	0	0	0	72	6066	65	0	3012	79	0	3	0	0	0	38	0	0	76	168	489	35	200	56	0	77	3	4	0	269	6	14	1752	0	42	638	92	0	0	0	0	433	36	140	36	3651	2458	238	32	0	0	0	0	0	0	0	0	0	1001	234	1586	550	205	0	0	0	90	4	26	83	0	0	0	407	33	159	0	0	0	70	0	0	0	0	0	0	37	297	136	0	34	0	0	0	0	0	0	0	0	3	42	0	29	0	214	0	0	37	9	80	192	137	3676	747	63	309	854	56	375	0	0	0	0	0	0	0	1424	0	6325	1066	75	503	1104	111	0	0	0	39	32	0	0	0	0	0	60	56	0	0	0	6154	0	0	0	58	622	1542	1058	764	449	266	13	102	0	17	0	352	31	92	123	270	144	926	351	1131	0	0	0	0	0	0	0	408	1911	452	26	12	0	198	85	0	152	798	0	103	0	0	27	45	0	0	135	0	0	0	0	0	0	0	120	221	5	16	0	0	0	0	0	0	0	16	283	5	24	11	0	64	12	1166	0	0	0	0	0	23	0	0	0	0	3992	514	0	7	0	0	0	1753	0	3	4	261	1167	792	115	0	543	0	948	0	0	0	18	0	87	1060	0	18	10	763	20	696	0	0	0	0	29	0	30	0	52	556	417	61	27	0	150	0	0	10	0	0	0	244	272	1089	0	23	0	402	323	209	0	0	0	0	0	43	0	5	0	10	26	1835	11	50	0	0	0	0	0	0	96	838	40	65	0	0	0	0	0	0	0	0	0	0	1348	46	82	0	94	0	0	0	0	0	27	0	19	2312	0	17	11	18	353	298	1053	1681	0	0	0	0	36	0	86	42	22	42	0	0	0	0	72	0	0	78	272	15	0	0	224	36	0	0	0	0	8655	0	0	0	31	0	0	0	16	0	0	172	118	0	0	0	0	0	0	170	208	16	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
