Sample ID	taxon
A_i01_O1	sample
A_i02_O1	sample
A_i02_O2	sample
A_i03_O1	sample
A_i04_O1	sample
A_i04_O2	sample
A_i05_O1	sample
A_i05_O2	sample
A_i06_O1	sample
A_i06_O2	sample
A_i07_O1	sample
A_i07_O2	sample
A_i08_O1	sample
A_i08_O2	sample
A_i09_O1	sample
A_i09_O2	sample
A_i10_O1	sample
A_i10_O2	sample
A_i11_O1	sample
A_i12_O2	sample
A_i14_O1	sample
A_i14_O2	sample
A_i15_O2	sample
A_i16_O1	sample
A_i16_O2	sample
A_i18_O1	sample
A_i18_O2	sample
A_i19_O1	sample
A_i19_O2	sample
A_i20_O1	sample
A_i20_O2	sample
A_i21_O1	sample
A_i21_O2	sample
A_i22_O1	sample
A_i22_O2	sample
A_i23_O1	sample
A_i23_O2	sample
A_i24_O1	sample
A_i24_O2	sample
A_i25_O1	sample
A_i25_O2	sample
A_i26_O1	sample
A_i26_O2	sample
A_i27_O1	sample
A_i27_O2	sample
A_i28_O1	sample
A_i28_O2	sample
A_i29_O1	sample
A_i29_O2	sample
A_i30_O1	sample
A_i30_O2	sample
A_i31_O1	sample
A_i31_O2	sample
A_i32_O1	sample
A_i32_O2	sample
A_Mock1	standard
A_Mock_Arch1	standard
A_Mock_Arch	standard
A_Mock	standard
A_NC_O1_2	control
A_NC_O1	control
A_NC_pre	control
A_NC_V1_O1	control
A_NC_V2_O2	control
NegA_O	control
NegA_Swab3	control
Neg_Swab1	control
A_i01_M01	sample
A_i01_M02	sample
A_i01_M03	sample
A_i01_M04	sample
A_i01_M05	sample
A_i01_M06	sample
A_i01_M07	sample
A_i01_M08	sample
A_i01_M09	sample
A_i01_M10	sample
A_i01_M11	sample
A_i01_M12	sample
A_i02_M01	sample
A_i02_M02	sample
A_i02_M03	sample
A_i02_M04	sample
A_i02_M05	sample
A_i02_M06	sample
A_i02_M07	sample
A_i02_M08	sample
A_i02_M09	sample
A_i02_M10	sample
A_i02_M11	sample
A_i02_M12	sample
A_i03_M01	sample
A_i03_M02	sample
A_i03_M03	sample
A_i03_M04	sample
A_i03_M05	sample
A_i03_M06	sample
A_i03_M07	sample
A_i03_M08	sample
A_i03_M09	sample
A_i03_M10	sample
A_i03_M11	sample
A_i03_M12	sample
A_i04_M01	sample
A_i04_M02	sample
A_i04_M03	sample
A_i04_M04	sample
A_i04_M05	sample
A_i04_M06	sample
A_i04_M07	sample
A_i04_M08	sample
A_i04_M09	sample
A_i04_M10	sample
A_i04_M11	sample
A_i04_M12	sample
A_i05_M01	sample
A_i05_M02	sample
A_i05_M03	sample
A_i05_M04	sample
A_i05_M05	sample
A_i05_M06	sample
A_i05_M07	sample
A_i05_M08	sample
A_i05_M09	sample
A_i05_M10	sample
A_i05_M11	sample
A_i05_M12	sample
A_i06_M01	sample
A_i06_M02	sample
A_i06_M03	sample
A_i06_M04	sample
A_i06_M05	sample
A_i06_M07	sample
A_i06_M08	sample
A_i06_M09	sample
A_i06_M10	sample
A_i06_M11	sample
A_i06_M12	sample
A_i07_M01	sample
A_i07_M02	sample
A_i07_M03	sample
A_i07_M04	sample
A_i07_M05	sample
A_i07_M06	sample
