OTU_ID	A_i26_S1	A_i04_S1	A_i26_S2	A_i27_S2	A_i04_S2	A_i08_S1	A_i28_S_M03	A_i29_S2	A_i28_S_M04	A_i09_S2	A_i26_S_M04	A_i26_S_M02	A_i15_S_M06	A_i24_S1	A_i04_S3	A_i29_S_M03	A_i11_S_M12	A_i24_S_M04	A_i01_S_M01	A_i16_S_M06	A_i26_S_M05	A_i26_S_M07	A_i24_S_M10	A_i22_S_M11	A_i26_S_M03	A_i28_S2	A_i10_S_M05	A_i24_S_M05	A_i06_S2	A_i16_S_M01	A_i26_S3	A_i01_S_M03	A_i06_S1	A_i05_S3	A_i27_S_M04	A_i04_S_M04	A_i09_S3	A_i29_S_M02	A_i31_S_M04	A_i31_S_M08	A_i28_S_M05	A_i24_S_M03	A_i28_S_M12	A_i10_S_M09	A_i14_S_M04	A_i25_S1	A_i18_S2	A_i30_S3	A_i02_S_M10	A_i10_S_M07	A_i21_S1	A_i16_S_M09	A_i20_S3	A_i19_S_M06	A_i31_S_M05	A_i26_S_M01	A_i19_S_M08	A_i09_S_M12-1	A_i32_S_M11	A_i26_S_M08	A_i12_S2	A_i01_S_M08	A_i32_S2	A_i09_S_M08	A_i32_S3	A_i31_S1	A_i01_S_M06	A_i31_S2	A_i31_S3	A_i06_S3	A_i24_S_M02	A_i18_S_M10	A_i25_S3	A_i03_S_M09	A_i01_S_M02	A_i22_S2	A_i06_S_M12	A_i08_S2	A_i05_S_M12	A_i03_S_M08	A_i26_S_M10	A_i07_S2	A_i25_S_M09	A_i23_S2	A_i30_S1	A_i16_S_M04	A_i27_S_M10	A_i30_S2	A_i12_S_M07	A_i18_S_M07	A_i10_S2	A_i05_S2	A_i08_S3	A_i23_S_M09	A_i14_S2	A_i14_S1	A_i29_S_M09	A_i18_S_M02	A_i12_S_M01	A_i04_S_M12	A_i24_S2	A_i07_S1	A_i07_S_M11	A_i18_S_M01	A_i03_S_M11	A_i11_S_M11	A_i18_S_M05	A_i24_S_M09	A_i09_S_M09	A_i12_S_M08	A_i01_S_M10	A_i23_S_M06	A_i30_S_M05	A_i31_S_M07	A_i09_S_M12-2	A_i21_S3	A_i01_S1	A_i08_S_M04	A_i32_S_M03	A_i05_S_M03	A_i22_S_M08	A_i27_S_M08	A_i07_S_M09	A_i25_S2	A_i05_S_M08	A_i32_S_M08	A_i32_S_M10	A_i02_S2	A_i19_S_M09	A_i29_S3	A_i04_S_M01	A_i08_S_M09	A_i14_S_M11	A_i27_S1
b788f20b6a06f145a05fe80dbc9f5b8e	0	0	0	96.8	0	0	0	0	0	0	4.396112911	0	95.86069084	0	0	29.5543672	41.49610578	10.55576278	0	0	55.21871821	6.64357041	98.14814815	0	22.11350294	0	0	34.74762253	0	0	0	42.83791061	0	0	0	0	0	34.07202216	21.79844961	0	0	98.23712409	97.09219858	11.76048763	0	0	0	0	29.09547739	0	0	0	0	100	0	0	0	99.70951344	0	69.64143426	0	45.7337884	0	0	0	0	0	13.51351351	0	0	10.50531915	0	0	97.28813559	1.047120419	0	100	0	0	2.43902439	67.52136752	0	0	0	0	0	0	0	0	0	0	0	0	21.62162162	0	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	0	0	0	0	0	0	100	0	0	0	0	0
c6db214ed09e937552f5aef16446c7b2	0	0	54.33659033	0	97.67902049	0	0	0	0	0	23.73900972	22.8409894	0	0	0	0	0	10.20141738	9.239237271	0	17.15157681	2.832687997	0	96.80463221	0	0	0	5.87661546	0	0	0	0	0	0	0	0	0	0	2.542635659	0	0	0	0	18.78809609	0	0	0	0	14.72361809	0	0	0	0	0	0	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	97.4789916	0	0	0	0	0	0	0	0	30.5785124	35.0877193	0	0	0	0	0	0	0	0	0	39.65517241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0
5d605e90764d3114e913b26fa8f4b03e	0	0	40.94012902	0	0	66.95991697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.45614035	0	0	0	0	0	0	100	71.64179104	21.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5c3f15d45f5aaf966ab30d9fc85bf0a5	66.19957406	0	0	0	0	0	0	0.837970101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38802b379cd430ee550000bd2fc3bc25	0	42.91663912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.97288676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4fb009d9dba15d0e6be1d136a691869f	0	0	0	0	0	0	0	0	0	0	12.92225821	14.34628975	0	0	0	15.50802139	58.50389422	0	15.80499312	0	15.38148525	13.83737518	0	0	21.63513807	0	21.68647679	0	0	0	0	22.80560043	0	0	0	0	0	0	14.4496124	0	0	0	0	0	0	0	0	0	29.69849246	0	0	0	0	0	0	0	5.173542895	0	0	30.35856574	0	21.58703072	0	0	0	0	0	0	0	0	30.18617021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.83471074	0	0	0	0	0	0	0	0	0	0	27.5862069	0	0	0	0	12.90322581	0	0	0	100	52.63157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3a0c3e03c2d6446dd5888d39562fccd	0	42.29523369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350e2ca44f40ce7ba455c4463730785e	0	0	0	0	0	0.108733258	0	0	0	38.54452541	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.70320405	0	0	0.38898863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.912045889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b6c4d097909dadb204cc5554f1489a3e	0	0	0	0	0	0	0	0	0	0	0	37.27208481	0	0	0	0.249554367	0	0	36.66207981	0	0	0	0	0	27.39726027	0	0	26.26188734	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.27089337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.30851064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.58677686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
040bd74a5c9b1a37501cd9fc4c554326	0	0	0	0	0	0	36.93331097	0	16.49154865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.04306723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.77777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
