Sample ID	taxon
A_i01_S_M01	sample
A_i01_S_M02	sample
A_i01_S_M03	sample
A_i01_S_M04	sample
A_i01_S_M05	sample
A_i01_S_M06	sample
A_i01_S_M07	sample
A_i01_S_M08	sample
A_i01_S_M09	sample
A_i01_S_M10	sample
A_i01_S_M11	sample
A_i01_S_M12	sample
A_i02_S_M01	sample
A_i02_S_M02	sample
A_i02_S_M03	sample
A_i02_S_M04	sample
A_i02_S_M05	sample
A_i02_S_M06	sample
A_i02_S_M07	sample
A_i02_S_M08	sample
A_i02_S_M09	sample
A_i02_S_M10	sample
A_i02_S_M11	sample
A_i02_S_M12	sample
A_i03_S_M01	sample
A_i03_S_M02	sample
A_i03_S_M03	sample
A_i03_S_M04	sample
A_i03_S_M05	sample
A_i03_S_M06	sample
A_i03_S_M07	sample
A_i03_S_M08	sample
A_i03_S_M09	sample
A_i03_S_M10	sample
A_i03_S_M11	sample
A_i03_S_M12	sample
A_i04_S_M01	sample
A_i04_S_M02	sample
A_i04_S_M03	sample
A_i04_S_M04	sample
A_i04_S_M05	sample
A_i04_S_M06	sample
A_i04_S_M10	sample
A_i04_S_M11	sample
A_i04_S_M12	sample
A_i04_S_M7-1	sample
A_i04_S_M7-2	sample
A_i04_S_M8-1	sample
A_i04_S_M8-2	sample
A_i04_S_M8-3	sample
A_i05_S_M01	sample
A_i05_S_M02	sample
A_i05_S_M03	sample
A_i05_S_M04	sample
A_i05_S_M05	sample
A_i05_S_M06	sample
A_i05_S_M07	sample
A_i05_S_M08	sample
A_i05_S_M09	sample
A_i05_S_M10	sample
A_i05_S_M11	sample
A_i05_S_M12	sample
A_i06_S_M01	sample
A_i06_S_M02	sample
A_i06_S_M03	sample
A_i06_S_M04	sample
A_i06_S_M05	sample
A_i06_S_M07	sample
A_i06_S_M08	sample
A_i06_S_M09	sample
A_i06_S_M10	sample
A_i06_S_M11	sample
A_i06_S_M12	sample
A_i07_S_M01	sample
A_i07_S_M02	sample
A_i07_S_M03	sample
A_i07_S_M04	sample
A_i07_S_M05	sample
A_i07_S_M06	sample
A_i07_S_M08	sample
A_i07_S_M09	sample
A_i07_S_M10	sample
A_i07_S_M11	sample
A_i07_S_M12	sample
A_i07_S_M7-1	sample
A_i07_S_M7-2	sample
A_i08_S_M01	sample
A_i08_S_M02	sample
A_i08_S_M03	sample
A_i08_S_M04	sample
A_i08_S_M05	sample
A_i08_S_M06	sample
A_i08_S_M07	sample
A_i08_S_M08	sample
A_i08_S_M09	sample
A_i08_S_M10	sample
A_i08_S_M11	sample
A_i09_S_M01	sample
A_i09_S_M02	sample
A_i09_S_M03	sample
A_i09_S_M04	sample
A_i09_S_M05	sample
A_i09_S_M06	sample
A_i09_S_M07	sample
A_i09_S_M08	sample
A_i09_S_M09	sample
A_i09_S_M10	sample
A_i09_S_M11	sample
A_i09_S_M12-1	sample
A_i09_S_M12-2	sample
A_i10_S_M01	sample
A_i10_S_M02	sample
A_i10_S_M03	sample
A_i10_S_M04	sample
A_i10_S_M05	sample
A_i10_S_M06	sample
A_i10_S_M07	sample
A_i10_S_M08	sample
A_i10_S_M09	sample
A_i10_S_M10	sample
A_i10_S_M11	sample
A_i10_S_M12	sample
A_i11_S_M01	sample
A_i11_S_M02	sample
A_i11_S_M03	sample
A_i11_S_M04	sample
A_i11_S_M05	sample
A_i11_S_M06	sample
A_i11_S_M07	sample
A_i11_S_M08	sample
A_i11_S_M09	sample
A_i11_S_M10	sample
A_i11_S_M11	sample
A_i11_S_M12	sample
A_i12_S_M01	sample
A_i12_S_M02	sample
A_i12_S_M03	sample
A_i12_S_M04	sample
A_i12_S_M05	sample
A_i12_S_M06	sample
A_i12_S_M07	sample
A_i12_S_M08	sample
A_i12_S_M09	sample
A_i12_S_M10	sample
A_i12_S_M11	sample
A_i12_S_M12	sample
A_i13-S2	sample
A_i14_S_M01	sample
A_i14_S_M02	sample
A_i14_S_M03	sample
A_i14_S_M04	sample
A_i14_S_M05	sample
A_i14_S_M06	sample
A_i14_S_M07	sample
A_i14_S_M09	sample
A_i14_S_M10	sample
A_i14_S_M11	sample
A_i14_S_M12	sample
A_i14_S_M8-1	sample
A_i14_S_M8-2	sample
A_i15_S_M01	sample
A_i15_S_M02	sample
A_i15_S_M03	sample
A_i15_S_M04	sample
A_i15_S_M05	sample
A_i15_S_M06	sample
A_i15_S_M07	sample
A_i15_S_M08	sample
A_i15_S_M09	sample
A_i15_S_M10	sample
A_i15_S_M11	sample
A_i15_S_M12	sample
