SampleID,tp,source,value
O_i23_M01,M01,oral,0.127272727
O_i03_M01,M01,oral,0.66
O_i24_M01,M01,oral,0.752727273
O_i09_M01,M01,oral,0.752727273
O_i31_M01,M01,oral,0.592727273
O_i24_M01_2,M01,oral,0.229090909
O_i01_M01,M01,oral,0.489090909
O_i05_M01,M01,oral,0.476363636
O_i27_M01,M01,oral,0.923636364
O_i19_M01,M01,oral,0.287272727
O_i25_M01,M01,oral,0.661818182
O_i02_M01,M01,oral,0.885454545
O_i28_M01,M01,oral,0.261818182
O_i04_M01,M01,oral,0.767272727
O_i06_M01,M01,oral,0.478181818
O_i30_M01,M01,oral,0.890909091
O_i11_M01,M01,oral,0.556363636
O_i16_M01,M01,oral,0.809090909
O_i22_M01,M01,oral,0.494545455
O_i14_M01,M01,oral,0.112727273
O_i21_M01,M01,oral,0.652727273
O_i07_M01,M01,oral,0.081818182
O_i12_M01,M01,oral,0.372727273
O_i20_M01,M01,oral,0.810909091
O_i29_M01,M01,oral,0.24
O_i15_M01,M01,oral,0.898181818
O_i32_M01,M01,oral,0.4
O_i08_M01,M01,oral,0.807272727
O_i10_M02,M02,oral,0.056976744
O_i03_M02,M02,oral,0.008139535
O_i18_M02,M02,oral,0.023255814
O_i21_M02,M02,oral,0.038372093
O_i24_M02,M02,oral,0.065116279
O_i09_M02,M02,oral,0.041860465
O_i06_M02,M02,oral,0.077906977
O_i29_M02,M02,oral,0.026744186
O_i07_M02,M02,oral,0.024418605
O_i16_M02,M02,oral,0.020930233
O_i02_M02,M02,oral,0.041860465
O_i05_M02,M02,oral,0.031395349
O_i23_M02,M02,oral,0.024418605
O_i30_M02,M02,oral,0.038372093
O_i15_M02,M02,oral,0.027906977
O_i11_M02,M02,oral,0.03255814
O_i32_M02,M02,oral,0.015116279
O_i01_M02,M02,oral,0.051162791
O_i08_M02,M02,oral,0.061627907
O_i28_M02,M02,oral,0.010465116
O_i14_M02,M02,oral,0.044186047
O_i12_M02,M02,oral,0.027906977
O_i19_M02,M02,oral,0.053488372
O_i20_M02,M02,oral,0.03372093
O_i26_M02,M02,oral,0.084883721
O_i31_M02,M02,oral,0.044186047
O_i25_M02,M02,oral,0.026744186
O_i22_M02,M02,oral,0.091860465
O_i04_M02,M02,oral,0.015116279
O_i30_M03,M03,oral,0.0171875
O_i31_M03,M03,oral,0.084375
O_i06_M03,M03,oral,0.0109375
O_i19_M03,M03,oral,0.0546875
O_i28_M03,M03,oral,0.0515625
O_i11_M03,M03,oral,0.0421875
O_i21_M03,M03,oral,0.084375
O_i32_M03,M03,oral,0.03125
O_i04_M03,M03,oral,0.0828125
O_i25_M03,M03,oral,0.0328125
O_i27_M03,M03,oral,0.021875
O_i01_M03,M03,oral,0.121875
O_i29_M03,M03,oral,0.0515625
O_i10_M03,M03,oral,0.0546875
O_i14_M03,M03,oral,0.1078125
O_i08_M03,M03,oral,0.1078125
O_i22_M03,M03,oral,0.0453125
O_i24_M03,M03,oral,0.0671875
O_i20_M03,M03,oral,0.1828125
O_i26_M03,M03,oral,0.1
O_i18_M03,M03,oral,0.04375
O_i12_M03,M03,oral,0.046875
O_i16_M03,M03,oral,0.0453125
O_i07_M03,M03,oral,0.0421875
O_i02_M03,M03,oral,0.04375
O_i03_M03,M03,oral,0.0234375
O_i13_M03,M03,oral,0.015625
O_i09_M03,M03,oral,0.0578125
O_i23_M03,M03,oral,0.1421875
O_i05_M03,M03,oral,0.0390625
O_i18_M04,M04,oral,0.114
O_i03_M04,M04,oral,0.052
O_i31_M04,M04,oral,0.11
O_i07_M04,M04,oral,0.006
O_i15_M04,M04,oral,0.024
O_i16_M04,M04,oral,0.088
O_i02_M04,M04,oral,0.052
O_i21_M04,M04,oral,0.008
O_i19_M04,M04,oral,0.032
O_i26_M04,M04,oral,0.076
O_i09_M04,M04,oral,0.004
O_i22_M04,M04,oral,0.022
O_i11_M04,M04,oral,0.008
O_i01_M04,M04,oral,0.08
O_i30_M04,M04,oral,0.064
O_i05_M04,M04,oral,0.004
O_i27_M04,M04,oral,0.02
O_i28_M04,M04,oral,0.03
O_i24_M04,M04,oral,0.074
O_i23_M04,M04,oral,0.06
O_i14_M04,M04,oral,0.046
O_i06_M04,M04,oral,0.072
O_i08_M04,M04,oral,0.058
O_i25_M04,M04,oral,0.054
O_i20_M04,M04,oral,0.11
O_i04_M04,M04,oral,0.046
O_i12_M04,M04,oral,0.056
O_i32_M04,M04,oral,0.068
O_i10_M04,M04,oral,0.038
O_i29_M04,M04,oral,0.032
O_i25_M05,M05,oral,0.078688525
O_i27_M05,M05,oral,0.1
O_i06_M05,M05,oral,0.050819672
O_i19_M05,M05,oral,0.054098361
O_i23_M05,M05,oral,0.039344262
O_i07_M05,M05,oral,0.127868852
O_i12_M05,M05,oral,0.080327869
O_i05_M05,M05,oral,0.047540984
O_i03_M05,M05,oral,0.11147541
O_i02_M05,M05,oral,0.062295082
O_i22_M05,M05,oral,0.050819672
O_i16_M05,M05,oral,0.03442623
O_i18_M05,M05,oral,0.059016393
O_i10_M05,M05,oral,0.016393443
O_i29_M05,M05,oral,0.021311475
O_i01_M05,M05,oral,0.116393443
O_i11_M05,M05,oral,0.06557377
O_i30_M05,M05,oral,0.149180328
O_i14_M05,M05,oral,0.1
O_i24_M05,M05,oral,0.081967213
O_i04_M05,M05,oral,0.054098361
O_i21_M05,M05,oral,0.104918033
O_i28_M05,M05,oral,0.054098361
O_i26_M05,M05,oral,0.03442623
O_i20_M05,M05,oral,0.108196721
O_i09_M05,M05,oral,0.042622951
O_i32_M05,M05,oral,0.024590164
O_i31_M05,M05,oral,0.17704918
O_i15_M05,M05,oral,0.03442623
O_i02_M06,M06,oral,0.051470588
O_i28_M06,M06,oral,0.060294118
O_i09_M06,M06,oral,0.047058824
O_i04_M06,M06,oral,0.048529412
O_i01_M06,M06,oral,0.073529412
O_i24_M06,M06,oral,0.057352941
O_i03_M06,M06,oral,0.042647059
O_i18_M06,M06,oral,0.045588235
O_i27_M06,M06,oral,0.042647059
O_i10_M06_2,M06,oral,0.032352941
O_i19_M06,M06,oral,0.048529412
O_i25_M06,M06,oral,0.051470588
O_i23_M06,M06,oral,0.022058824
O_i10_M06_1,M06,oral,0.063235294
O_i31_M06,M06,oral,0.051470588
O_i05_M06,M06,oral,0.041176471
O_i14_M06,M06,oral,0.052941176
O_i08_M06,M06,oral,0.064705882
O_i29_M06,M06,oral,0.048529412
