	genus		summe_all	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
35ffcc3b809d667286737d79670b8de5	Bifidobacterium	Bifidobacterium_ASV_01	10556	79	8	0	9	9	3	5321	5119	4	0	2	2
fd496fd32dc8c08ade2e8b6c9d8ee13d	Streptococcus	Streptococcus_ASV_02	5144	1536	545	203	201	220	186	450	268	334	551	317	333
06f825b512d903b9230e1a55d87359ee	Streptococcus	Streptococcus_ASV_03	3293	328	448	464	447	456	450	410	70	50	50	20	100
56bde454092279f47b556883d5909620	Streptococcus	Streptococcus_ASV_04	2953	134	544	340	733	501	253	216	146	38	19	0	29
edc9e5c16e40aff1eadce6597940f08f	Streptococcus	Streptococcus_ASV_05	1665	415	367	168	393	137	0	47	0	0	73	42	23
394eda29c886632f514dd94b58381186	Haemophilus	Haemophilus_ASV_06	1594	17	1	0	91	1	1	274	158	335	195	195	326
65d43491988bfe557da4d86a5ba25dae	Staphylococcus	Staphylococcus_ASV_07	1353	1166	187	0	0	0	0	0	0	0	0	0	0
945184b6386c192c0066e0a98a154780	unclassified_Enterobacteriaceae	unclassified_Enterobacteriaceae_ASV_08	656	26	628	0	1	0	1	0	0	0	0	0	0
33ba975cdb88b5073a2355ffdf01e9cb	Bifidobacterium	Bifidobacterium_ASV_09	535	535	0	0	0	0	0	0	0	0	0	0	0
c24e0e391aa836b5eae25567c7eb89ee	[Ruminococcus]_gnavus_group	[Ruminococcus]_gnavus_group_ASV_10	479	7	0	1	1	463	0	0	1	1	2	2	1
1d49df56b83a383d8b998af9d148f52c	Clostridium_sensu_stricto_1	Clostridium_sensu_stricto_1_ASV_11	417	416	1	0	0	0	0	0	0	0	0	0	0
ad9b44d88a18bbff3f5238c0c051e11b	Clostridium_sensu_stricto_1	Clostridium_sensu_stricto_1_ASV_12	342	0	0	0	338	2	0	0	1	1	0	0	0
85c44c83eddc5d3028261a1000b7d0e1	Gemella	Gemella_ASV_13	155	50	57	8	0	10	10	20	0	0	0	0	0
d46e2205f0c6ecf67b51f83d111c509c	Escherichia-Shigella	Escherichia-Shigella_ASV_14	75	37	2	5	0	6	5	4	11	2	1	1	1
1902045fa7900495d421b8a8f308eb85	Rothia	Rothia_ASV_15	64	0	10	8	0	27	10	9	0	0	0	0	0
ca9c66d47347c03d0343d6fe03ed8636	Haemophilus	Haemophilus_ASV_16	35	0	0	0	0	0	16	19	0	0	0	0	0
c939ee112ba982665e012437dae05c1e	unclassified_Enterobacteriaceae	unclassified_Enterobacteriaceae_ASV_17	30	22	0	5	0	0	1	1	0	1	0	0	0
923f521b9cf313f1f95c9367e09bbc1c	Veillonella	Veillonella_ASV_18	26	10	2	1	0	0	0	3	3	1	0	3	3
315ca0a729f126b941ba111a16d4d97a	Bifidobacterium	Bifidobacterium_ASV_19	24	13	1	0	0	1	0	3	1	1	1	1	2
9908fffab7ed4f3bec44cda2f5084d49	Enterococcus	Enterococcus_ASV_20	23	17	1	1	0	0	0	1	3	0	0	0	0
99deb3c5ecb022ec05609ebd1112a557	Bacteroides	Bacteroides_ASV_21	19	9	0	0	0	1	0	0	5	1	1	0	2
2c5e87b291147c04e1b8d1c808b1aee0	Bifidobacterium	Bifidobacterium_ASV_22	17	11	1	0	0	0	1	0	2	1	0	1	0
9580aa8a52ec18a4e92e701cdb595faa	Clostridium_sensu_stricto_1	Clostridium_sensu_stricto_1_ASV_23	15	14	1	0	0	0	0	0	0	0	0	0	0
7d135dfbf857c62673695ef24332b100	Rothia	Rothia_ASV_24	14	1	0	0	0	13	0	0	0	0	0	0	0
09e996f449e880d1fd8f27d59e8d8b11	Lactobacillus	Lactobacillus_ASV_25	12	8	0	0	0	0	1	1	2	0	0	0	0
5a6c87d6a4eb5e114959f6192f29b641	Bifidobacterium	Bifidobacterium_ASV_26	11	7	0	0	0	0	0	0	2	0	0	0	2
d6eb0f6c5d5f37c7454c0ab49b7e3982	Staphylococcus	Staphylococcus_ASV_27	11	11	0	0	0	0	0	0	0	0	0	0	0
21401b105dc53b367b8fdc0ec97a9f02	Sutterella	Sutterella_ASV_28	11	11	0	0	0	0	0	0	0	0	0	0	0
8343cf4c26bb977e05e4d9c5125441ef	Parabacteroides	Parabacteroides_ASV_29	10	9	0	1	0	0	0	0	0	0	0	0	0
c67445ed68d61f49e41b7bdd1de019fb	Lachnoclostridium	Lachnoclostridium_ASV_30	9	8	0	0	0	0	0	0	0	0	0	0	1
2740cf2417c92847cc298cbd71dd1fcd	Veillonella		9	2	0	0	0	0	0	2	4	0	1	0	0
eafd20ce1f25fbd8c737f0086f81c11b	Veillonella		8	7	0	0	0	0	0	0	1	0	0	0	0
b5e0a6477e69e223d49eedc2c7c1b138	[Clostridium]_innocuum_group		7	7	0	0	0	0	0	0	0	0	0	0	0
0df6c802966e8670279671824da4f10a	Lactobacillus		7	6	0	1	0	0	0	0	0	0	0	0	0
1b8dec58597978264025b9eba656ffb5	Bacteroides		6	3	0	0	0	0	0	0	0	0	2	1	0
d900eb33f6b4bc449aab64df16ae18b2	Bacteroides		5	5	0	0	0	0	0	0	0	0	0	0	0
0ad2334ad30de68cbd3d6c42b1e06938	Lachnoclostridium		5	5	0	0	0	0	0	0	0	0	0	0	0
7fb08fa9b7b2eef6a3db57d0de769227	Peptoniphilus		5	5	0	0	0	0	0	0	0	0	0	0	0
7af6fc12809fdafab918881f836460f8	Tyzzerella		5	3	0	1	0	0	0	0	0	0	0	0	1
8d35d777e6abf2644eb139cf26bf2cbc	Veillonella		5	5	0	0	0	0	0	0	0	0	0	0	0
41cb13d06e5e72307ae7844cc94b2de2	Actinomyces		4	4	0	0	0	0	0	0	0	0	0	0	0
569653b1659271a290facfcedd0de061	Enterococcus		4	1	0	0	0	0	0	1	2	0	0	0	0
a443e786f67086749ef29ce0ab494c9e	Enterococcus		4	0	0	0	0	0	0	1	1	1	1	0	0
a663a01aeb4dbb88bbe0a9840e8f64dc	Erysipelatoclostridium		4	0	1	1	0	0	0	0	0	1	0	0	1
173c825a18291f2ba18b5e46d9db8408	Parabacteroides		4	2	0	0	0	0	0	0	0	2	0	0	0
87ea76477e8468d4d76c3c1bc995f897	Staphylococcus		4	4	0	0	0	0	0	0	0	0	0	0	0
eadba9902d6c7adb56aafd0cd1bbe76b	Streptococcus		4	3	1	0	0	0	0	0	0	0	0	0	0
f3384f1f36a908bd09b3c265bac26f8c	unclassified_Pasteurellaceae		4	4	0	0	0	0	0	0	0	0	0	0	0
cd9401a6bce4a63af516d06d2a843f9d	Veillonella		4	0	0	0	0	0	0	1	3	0	0	0	0
d1a75593a480570277f05ec729b865de	[Ruminococcus]_gnavus_group		3	0	0	0	0	0	0	1	0	1	1	0	0
