id	taxon_stool	taxon_oral	ASV_number	summe	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
06f825b512d903b9230e1a55d87359ee	Streptococcus	Streptococcus	Streptococcus_ASV_03	94244	13041	15749	15290	15460	13534	10773	10358	10	10	11	7	1
56bde454092279f47b556883d5909620	Streptococcus	Streptococcus	Streptococcus_ASV_04	9781	54	1278	1421	1930	2282	2791	13	5	1	4	0	2
fd496fd32dc8c08ade2e8b6c9d8ee13d	Streptococcus	Streptococcus	Streptococcus_ASV_02	6742	1330	827	400	433	438	13	933	340	415	664	603	346
394eda29c886632f514dd94b58381186	Haemophilus	Haemophilus	Haemophilus_ASV_06	2068	120	88	287	3	6	171	268	0	279	0	374	472
edc9e5c16e40aff1eadce6597940f08f	Streptococcus	Streptococcus	Streptococcus_ASV_05	1884	359	1039	8	454	16	1	1	0	0	1	1	4
65d43491988bfe557da4d86a5ba25dae	Staphylococcus	Staphylococcus	Staphylococcus_ASV_07	1123	1120	2	1	0	0	0	0	0	0	0	0	0
923f521b9cf313f1f95c9367e09bbc1c	Veillonella	Veillonella	Veillonella_ASV_18	1039	13	8	6	6	7	242	144	181	141	164	78	49
85c44c83eddc5d3028261a1000b7d0e1	Gemella	Gemella	Gemella_ASV_13	630	436	20	55	37	30	17	23	2	4	2	1	3
c3a6b5adfc02deaeae7d2c7971e19e78	#NV	Streptococcus	Streptococcus_ASV_31	157	100	5	14	8	19	4	5	1	1	0	0	0
7d135dfbf857c62673695ef24332b100	Rothia	Rothia	Rothia_ASV_24	96	52	8	10	9	8	3	4	0	0	1	0	1
cd9401a6bce4a63af516d06d2a843f9d	Veillonella	Veillonella	Veillonella_ASV_32	91	0	0	10	0	0	0	2	16	0	9	53	1
ca9c66d47347c03d0343d6fe03ed8636	Haemophilus	Haemophilus	Haemophilus_ASV_16	75	51	1	4	1	3	5	6	2	0	0	0	2
1902045fa7900495d421b8a8f308eb85	Rothia	Rothia	Rothia_ASV_15	61	0	11	10	13	13	3	7	0	1	1	1	1
35ffcc3b809d667286737d79670b8de5	Bifidobacterium	Bifidobacterium	Bifidobacterium_ASV_01	60	20	0	30	0	0	0	0	0	0	10	0	0
09e996f449e880d1fd8f27d59e8d8b11	Lactobacillus	Lactobacillus	Lactobacillus_ASV_25	57	0	0	57	0	0	0	0	0	0	0	0	0
942ec60e75a4f9183b9b69cbf8960379	Granulicatella	Granulicatella	Granulicatella_ASV_33	51	7	2	2	7	7	5	10	2	0	1	3	5
