featureid	rab.all	rab.win.n	rab.win.x	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Streptococcus	14.6411156926423	14.0355874626086	14.7742654961248	0.723957313656788	0.498102652120708	1.25790282873507	0.0841132409735011	0.00397639852945286	0.069654608107656	0.00748817155067155	0.137558300455997
Gemella	10.423397822445	10.3236698464881	10.4636671527637	0.320120398604731	2.48088975507553	0.0966560735847921	0.440625049010451	0.851370033974988	0.954519986454055	0.778905137108262	0.960476937889402
Neisseria	3.45290566220377	6.98078227128879	2.66829623948623	-4.1516517070063	6.53109684364082	-0.609722656073663	0.255451973356891	0.200257702252316	0.665015918356601	0.120312976953602	0.602315749042642
Granulicatella	5.74230672997075	9.40431041971872	5.14128335937458	-4.56746013151733	2.92736341482015	-1.32252325830682	0.0406273974199012	1.23010470817232e-05	0.000650552308138544	0.000592853327228327	0.0355191798941799
Haemophilus	6.17081900999006	7.3200418912058	6.03112209575737	-0.7272394069699	4.89215346515735	-0.143323111224286	0.404984503397468	0.409193529809169	0.829635444615616	0.550387604293854	0.901034328168437
Rothia	10.1853578096693	9.86511137557925	10.3808543447447	-0.108835670296523	2.78992512387331	-0.0626441733838961	0.496875002543222	0.667569528190965	0.91193018643055	0.948423032407407	0.988285306799719
Staphylococcus	2.34619851515016	0.673330569910633	2.73613026586151	2.30439074864961	5.75426324181555	0.382238698293121	0.333333484971294	0.266588364098691	0.730454785320985	0.319873543701669	0.756259821728568
Alloprevotella	2.37703967089241	7.4625975025466	1.76798712823317	-4.44290636704458	5.46901255789085	-0.72944922534192	0.230529902156429	0.10215652039711	0.528768734541209	0.0695496922059422	0.48794203823343
Veillonella	7.45007920937597	10.3217781903796	6.45906998206728	-3.72204291617762	3.46415880381181	-0.965148638918438	0.11562576473835	0.00062849983674607	0.0205204652317431	0.00688434829059829	0.18134455470951
Bergeyella	4.76119458945547	5.44258744443475	4.41994788625167	-1.44340917572764	3.53775383610928	-0.35791098569197	0.356250127524218	0.221109470872844	0.725197130406052	0.341101635632886	0.807099641451355
Leptotrichia	0.947497624444269	4.56269168780782	0.529057370862422	-4.03534088041484	4.50238745425143	-0.853344297387373	0.196262071551004	0.107761832462881	0.495241939692006	0.0605605476699227	0.403454409250991
Porphyromonas	2.5993203973624	6.81179883638465	2.13180343563245	-4.3756258359707	6.21779965187913	-0.643544650024141	0.236760419139104	0.14610188420474	0.591036871553156	0.0857791514041514	0.540124163677409
Prevotella	1.16553448722682	8.78891080319998	0.438620735419519	-9.03856531244729	2.98122842861277	-2.92392966735984	0.000219271997703997	2.51220812952654e-07	2.03154980296711e-05	2.03500203500204e-05	0.00311259920634921
Fusobacterium	1.22951390083389	6.52984685965688	0.916572600262121	-4.36348541326392	6.94636446810871	-0.529664963555227	0.305296135765401	0.216988630355729	0.691634078893588	0.181862249440374	0.654943430037536
