,Actinomyces,Prevotella,Granulicatella,Lachnoanaerobaculum,Veillonella,Streptococcus,Campylobacter,Leptotrichia,Atopobium,Neisseria,Haemophilus,Fusobacterium,Solobacterium,unclassified_Pasteurellaceae,Gemella
B_i01_M01,-0.0437048,-0.0437048,1.571055818,-0.0437048,1.059345042,9.514507463,-0.0437048,-0.0437048,-0.0437048,1.571151189,1.907907166,1.571055818,-0.0437048,-0.0437048,7.370864471
B_i01_M02,2.774962177,1.038545956,2.138627918,-0.064488359,2.138627918,9.568222722,-0.064488359,-0.064488359,-0.064488359,2.339432113,2.138627918,1.038545956,-0.064488359,-0.064488359,6.35065528
B_i01_M03,5.048135978,6.508033689,5.868722126,-0.076401788,6.284540087,9.24154235,-0.076401788,-0.076401788,3.540922013,-0.076401788,7.085572637,3.937395333,-0.076401788,-0.076401788,7.425164044
B_i01_M04,4.326385414,6.199203525,6.640091381,4.301382116,6.043468275,9.292927774,2.876117946,4.571290963,2.876117946,4.009678419,5.858924092,3.783893132,-0.074390707,-0.074390707,7.353896635
B_i01_M05,4.591643655,5.791222566,6.677008764,2.428756932,5.822721778,9.309330734,2.697140123,5.666412582,2.261610726,4.958023908,5.690294783,5.444019079,3.577725586,-0.142290765,5.980191688
B_i01_M06,6.286044374,-0.064446371,6.363787075,-0.064446371,6.65512372,9.406925032,-0.064446371,-0.064446371,-0.064446371,2.506617073,4.557230707,-0.064446371,-0.064446371,2.886267087,6.178532213
B_i01_M07,5.277987828,4.41472342,5.803878198,4.004055276,5.430004085,9.515279568,3.0613696,4.860587514,3.359936253,5.592564778,5.63324926,3.969096911,2.490605134,3.147521706,5.277987828
B_i01_M08,5.038899324,4.683062663,5.300811914,3.288014436,6.01449975,8.792028128,1.534335806,4.555610097,2.965154867,5.523039404,7.777649038,4.989807738,2.318243659,-0.085635245,4.183532285
B_i01_M09,4.338278278,4.977140996,7.549839262,2.857463662,6.942660126,8.872844829,2.30557798,4.112872879,2.741106182,7.004165761,6.932031089,4.462085949,2.852372364,-0.09828943,5.049903239
B_i01_M10,4.993924004,5.15245296,7.095514391,4.043246495,5.816516512,8.824602168,4.243935576,5.899133639,1.845212637,6.27482751,8.070679659,6.25804411,2.84431655,3.563611186,5.487437684
