featureid	rab.all	rab.win.M05	rab.win.M06	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Streptococcus	14.7889060141547	14.8595446801879	14.7215192791404	-0.174357479880722	0.671479682079854	-0.234674308062448	0.388469830425564	0.17086406318863	0.85334183432799	0.18881737540814	0.856287964709514
Gemella	10.6608484030302	10.4825731405313	10.7484750603849	0.281770500018222	1.84875008290599	0.107019135192002	0.440193966985039	0.853097423573399	0.98045886963706	0.516924767886707	0.946514204196136
Neisseria	5.9893709262961	5.88999460969111	6.1863984393975	-0.070473034246767	6.2558511569741	-0.0100110192893091	0.49434571903811	0.692197226224946	0.962516306821514	0.878344818099949	0.982337704684061
Granulicatella	9.96474161237066	8.83261901335609	10.7117772959104	1.73905609096804	2.97818771171534	0.525816927644555	0.229525871318902	0.00128909544630819	0.254084991054234	0.000199165478877624	0.0447237786233718
Haemophilus	9.29519644597828	8.97485457018514	9.7343675595625	0.338513303805497	4.31344372559611	0.0645365412768776	0.458512932045075	0.804249854755247	0.976128322947225	0.509675039291504	0.947701651797641
Rothia	9.83855278725902	9.44076098914678	10.2406958140887	0.25716655708904	2.97858481493469	0.0840296442476824	0.458266021478708	0.921013419125347	0.984953996073216	0.635153716153717	0.959154839406996
Staphylococcus	2.37357044740807	3.29784639097024	1.59537116418874	-1.56183616216488	5.0047594795301	-0.277819644722776	0.366379313825925	0.217515954757431	0.859609535683677	0.127251522958957	0.827026804431702
Alloprevotella	6.77851127667448	5.53417244171055	7.50826844549643	1.29250091806021	5.86062784007771	0.190269686273425	0.414108779736989	0.314595125702175	0.908973550217014	0.225943854929472	0.901566463563843
Veillonella	9.90279079162002	9.13133360424891	10.324509848194	0.854092391369676	3.0353928253356	0.245045471124268	0.375538796313238	0.137053117388205	0.865768359939389	0.121716361182098	0.860723511662564
Bergeyella	5.52066377440276	5.81992728286101	5.13050437612073	-0.256599087655069	4.46945564165315	-0.0529747787371258	0.474421109935849	0.693078690360682	0.965301191092666	0.660250328671645	0.962479982888995
Leptotrichia	3.35499345736726	3.01578101230748	3.93235115464774	1.39931676100775	7.38953506526382	0.173572932309323	0.419181036490342	0.308185243686537	0.902051612603527	0.319166427702738	0.910564488224303
Porphyromonas	6.53139873211396	5.50651311026078	7.34096594132391	1.50970191502214	5.26229817245433	0.243101535924987	0.386853451160779	0.198535043415526	0.873860391623901	0.125948880685985	0.861305107938851
Prevotella	4.05466186072527	2.95802770032287	4.87860917316232	1.04887636146768	5.8198742134	0.160169335240085	0.417339797422524	0.363627597577075	0.911847028797442	0.327488856178214	0.91233712704205
Psychrobacter	0.0779278578039397	0.0919824359054022	0.0568393618081462	-0.0461590108743275	4.2583326352517	-0.00862908722229362	0.496228448367107	0.518078343254866	0.926039057112149	0.516574188177472	0.920467940032008
Fusobacterium	3.60234554322428	3.63815590474295	3.58961445831374	0.0243779038629475	5.83055266359891	0.00284324152478954	0.498115239679365	0.713811596528036	0.964945300261858	0.806944577404364	0.977014826014689
Streptobacillus	1.42586450118404	1.15126960198616	1.72620756268531	0.962960933135567	6.18467623766023	0.144801752480472	0.434571891754041	0.400034643698062	0.908478842909367	0.430071370435772	0.919041211896906
Actinomyces	6.25710219844924	5.52669359848238	6.8732271238662	1.21891514022643	4.92556090162508	0.238015967399375	0.383952614703367	0.0776946548092371	0.812976823934667	0.125546183758638	0.858111378436962
Actinobacillus	0.627543626730533	0.289503746414967	1.0227044113035	0.901360812875065	5.33866173877371	0.144033229960071	0.425646553563535	0.394986875617836	0.88973055900132	0.400127365122717	0.89066833863896
unclassified_Neisseriaceae	0.229611738167445	0.241689976316295	0.21934075535063	-0.101363420822515	4.28780041949015	-0.0180103821863708	0.49191810364384	0.491688696600173	0.928772097987316	0.518935035537132	0.934610112106988
Acinetobacter	1.56457578724017	1.70650925181068	1.45151377770096	-0.233248759817974	4.52019107821701	-0.0438944020102764	0.4738826069872	0.584405854063676	0.948089135667389	0.6048268128078	0.945765836465434
Flavobacterium	1.97972826341839	2.03463349851238	1.95047406287246	-0.448536606358529	5.04758735451698	-0.0754693091045797	0.463651050963831	0.552060059945525	0.937315708957277	0.60985355849768	0.945122300312306
Bifidobacterium	0.589249942931337	0.773544194947872	0.404586680330425	-0.552918757327731	4.97346581649081	-0.0964021578995599	0.454741380414263	0.527482342936809	0.932251313065794	0.487363480403017	0.920498514835163
unclassified_Pasteurellaceae	1.2034959044916	0.900409650854985	1.56832940050558	0.760273552736719	5.11102543980302	0.133010523019679	0.43803879462576	0.430156692499439	0.913232021150704	0.452158430173685	0.924735270870995
Enhydrobacter	0.834641864513805	0.761384596809944	0.908570082261617	0.114519401687946	4.26727547613508	0.0224669430552068	0.488960689550691	0.540627926171937	0.931687749855253	0.573227038384056	0.939145450619956
Pseudomonas	0.238682727264387	0.344378111909531	0.123096281688196	-0.135384689907164	4.45973394151357	-0.0261012057151233	0.483037157114749	0.557768181428915	0.938996851911565	0.520730792779803	0.933597858401958
Sphingomonas	0.128486665628554	0.212071287080914	0.027478848734459	-0.151408571244385	4.1838622301662	-0.0317892982351083	0.481681034926517	0.517081841799208	0.926700246917955	0.537186374917394	0.933464830278496
Scardovia	0.0480818536666128	0.109571576742164	-0.010302118688549	-0.0481002672157267	4.25556633267434	-0.0111015811443442	0.494612069095875	0.507332008801021	0.924892227737891	0.505793925211478	0.928359842464672
Lachnoanaerobaculum	1.51483780533388	1.15429392114306	1.88020477191062	0.754048673848355	5.15747828212388	0.132042794896711	0.433728449907738	0.453273024530015	0.917309429372203	0.424133309601546	0.918546360028647
