"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","Shannon","M01","M02",0.494293848531032,0.49,"0.49","ns","T-test"
"2","Shannon","M02","M03",0.566005153626954,0.57,"0.57","ns","T-test"
"3","Shannon","M03","M04",0.119515771622292,0.12,"0.12","ns","T-test"
"4","Shannon","M04","M05",0.167721170974711,0.17,"0.17","ns","T-test"
"5","Shannon","M05","M06",0.440202020859465,0.44,"0.44","ns","T-test"
"6","Shannon","M06","M07",0.970939761289111,0.97,"0.97","ns","T-test"
"7","Shannon","M07","M08",0.85171679702107,0.85,"0.85","ns","T-test"
"8","Shannon","M08","M09",0.367242072263903,0.37,"0.37","ns","T-test"
"9","Shannon","M09","M10",0.579221432715904,0.58,"0.58","ns","T-test"
"10","Shannon","M10","M11",0.524456355054355,0.52,"0.52","ns","T-test"
"11","Shannon","M11","M12",0.718070052411172,0.72,"0.72","ns","T-test"
