"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","evenness","M01","M02",0.597511283977679,0.6,"0.6","ns","T-test"
"2","evenness","M02","M03",0.516458557344857,0.52,"0.52","ns","T-test"
"3","evenness","M03","M04",0.618113058812372,0.62,"0.62","ns","T-test"
"4","evenness","M04","M05",0.165913970961311,0.17,"0.17","ns","T-test"
"5","evenness","M05","M06",0.0138648889271741,0.014,"0.014","*","T-test"
"6","evenness","M06","M07",0.263062191511356,0.26,"0.26","ns","T-test"
"7","evenness","M07","M08",0.4378112330416,0.44,"0.44","ns","T-test"
"8","evenness","M08","M09",0.706914352069053,0.71,"0.71","ns","T-test"
"9","evenness","M09","M10",0.184590322636153,0.18,"0.18","ns","T-test"
"10","evenness","M10","M11",0.665225696288955,0.67,"0.67","ns","T-test"
"11","evenness","M11","M12",0.770714057893094,0.77,"0.77","ns","T-test"
