"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","evenness","M01","M02",0.654812408255808,0.65,"0.65","ns","T-test"
"2","evenness","M02","M03",0.530162391305479,0.53,"0.53","ns","T-test"
"3","evenness","M03","M04",0.192047985213584,0.19,"0.19","ns","T-test"
"4","evenness","M04","M05",0.0946619056720173,0.095,"0.095","ns","T-test"
"5","evenness","M05","M06",0.181533594027519,0.18,"0.18","ns","T-test"
"6","evenness","M06","M07",0.971731622788303,0.97,"0.97","ns","T-test"
"7","evenness","M07","M08",0.963649897566911,0.96,"0.96","ns","T-test"
"8","evenness","M08","M09",0.345124001594833,0.35,"0.35","ns","T-test"
"9","evenness","M09","M10",0.850895452009933,0.85,"0.85","ns","T-test"
"10","evenness","M10","M11",0.804891049148877,0.8,"0.8","ns","T-test"
"11","evenness","M11","M12",0.656217105940381,0.66,"0.66","ns","T-test"
