"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","richness","M01","M02",0.965981514403754,0.97,"0.97","ns","Wilcoxon"
"2","richness","M02","M03",0.0905486204637348,0.091,"0.091","ns","Wilcoxon"
"3","richness","M03","M04",0.873169650346194,0.87,"0.87","ns","Wilcoxon"
"4","richness","M04","M05",0.685914696145334,0.69,"0.69","ns","Wilcoxon"
"5","richness","M05","M06",0.634743288148736,0.63,"0.63","ns","Wilcoxon"
"6","richness","M06","M07",0.114542620465674,0.11,"0.11","ns","Wilcoxon"
"7","richness","M07","M08",0.261897254747418,0.26,"0.26","ns","Wilcoxon"
"8","richness","M08","M09",0.828643757478628,0.83,"0.83","ns","Wilcoxon"
"9","richness","M09","M10",0.376715623582007,0.38,"0.38","ns","Wilcoxon"
"10","richness","M10","M11",0.717546332866594,0.72,"0.72","ns","Wilcoxon"
"11","richness","M11","M12",0.885421763057658,0.89,"0.89","ns","Wilcoxon"
