"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","richness","M01","M02",0.266666666666667,0.27,"0.27","ns","Wilcoxon"
"2","richness","M02","M03",0.73015873015873,0.73,"0.73","ns","Wilcoxon"
"3","richness","M03","M04",0.69047619047619,0.69,"0.69","ns","Wilcoxon"
"4","richness","M04","M05",1,1,"1","ns","Wilcoxon"
"5","richness","M05","M06",0.180652680652681,0.18,"0.18","ns","Wilcoxon"
"6","richness","M06","M07",0.774795740750602,0.77,"0.77","ns","Wilcoxon"
"7","richness","M07","M08",0.662004662004662,0.66,"0.66","ns","Wilcoxon"
"8","richness","M08","M09",0.563171563260089,0.56,"0.56","ns","Wilcoxon"
"9","richness","M09","M10",0.112868189584977,0.11,"0.11","ns","Wilcoxon"
"10","richness","M10","M11",0.228425924145402,0.23,"0.23","ns","Wilcoxon"
"11","richness","M11","M12",0.185184786347796,0.19,"0.19","ns","Wilcoxon"
