Feature ID	domain	phylum	class	order	family	genus	species
da2aa18ad2d99585193bbaf15589eccf	Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea
aae44c0ab57499aa8e151b4486a51405	Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea
cb1edb2156cbc989cb1d7cfe3a52922f	Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea
2cb6f1d73413c0dee70be9e564a534cd	Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea	unclassified_Archaea
c35086f6001ac1c01d4ad41f0697233c	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus_Altiarchaeum	unclassified_Candidatus_Altiarchaeum
6e8ebb774db591ab6077fcdd84080efd	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosotenuis	unclassified_Candidatus_Nitrosotenuis
28cc211864165efb5e7b84de4fa71747	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosotenuis	unclassified_Candidatus_Nitrosotenuis
e653d2c283f5835bb227f7596c17d6b0	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	unclassified_Nitrosarchaeum
8086224289d38e07f3f591f75ee8d577	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	unclassified_Nitrosarchaeum
5da32e051bdda695c26f4cc556c3aede	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	unclassified_Nitrosarchaeum
c9d59b5dca26cd50adf46d0171c1e087	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	unclassified_Nitrosarchaeum
2adccff17465d2fa0d6fc67dcfecf46a	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilaceae	unclassified_Nitrosopumilaceae
4430ebed06a1a898252dcb10a3c2fe83	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilaceae	unclassified_Nitrosopumilaceae
933187983b8e33516c8de3aaf7facb91	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilaceae	unclassified_Nitrosopumilaceae
73e6833df8ebedeb86a1cac7fcb1ed53	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	unclassified_Nitrososphaeraceae	unclassified_Nitrososphaeraceae
b489f66bb21c9413c8fff7750c751625	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	unclassified_Nitrososphaeraceae	unclassified_Nitrososphaeraceae
8a25993167a6e6aa18d7e50841f491ec	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	unclassified_Nitrososphaeraceae	unclassified_Nitrososphaeraceae
bc3676c17839094c4fa8e33268905268	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrocosmicus	unclassified_Candidatus_Nitrocosmicus
cd64cc0e1ab070cc2c22b6d5b4505936	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrocosmicus	unclassified_Candidatus_Nitrocosmicus
c6200e9dc8f658197ed73534d45c31fb	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	unclassified_Nitrosotaleaceae	unclassified_Nitrosotaleaceae
52e9141ff1fc2980a883e6a57e6dff6e	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	Candidatus_Nitrosotalea	unclassified_Candidatus_Nitrosotalea
9cdf81c4933640ea08e7f7438a905db2	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	Candidatus_Nitrosotalea	unclassified_Candidatus_Nitrosotalea
81a52043b12dc04126230cf96e020319	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	unclassified_Methanobacteriaceae	unclassified_Methanobacteriaceae
38802b379cd430ee550000bd2fc3bc25	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
b84c76d4c282436900fd93e47aac6778	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
72ffb27af41615f98e04c8fd6f252f53	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
5d605e90764d3114e913b26fa8f4b03e	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
63e37c5bbd8782c760426391d6e20edc	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
350e2ca44f40ce7ba455c4463730785e	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
28fc1ddc3403fdb3e6f5c5118f19bb3e	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium_formicicum
44396f15b10f6577d61a11c6047c939f	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
9689cfda4d0a89df943be3ac0d4421f3	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
5505082f737448e12c9079873c06f349	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
