Feature ID	domain	phylum	class	order	family	genus	species	oxygen 3 categories	spores	motility	risk_group
e8386d3a307c208c4b9f0a756259cd6b	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unclassified_Acinetobacter	1_obligate_aerobe	no	NA	1
889b3824f9f3709fc805ea887f859e90	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unclassified_Acinetobacter	1_obligate_aerobe	no	NA	1
c22b16cc6108c04f29fea3b6d4c81571	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unclassified_Acinetobacter	1_obligate_aerobe	no	NA	1
d15bc449222795a9ff230013aa633686	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unclassified_Acinetobacter	1_obligate_aerobe	no	NA	1
41508b3244d8930238dde3db7c17c0cd	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	unclassified_Acinetobacter	1_obligate_aerobe	no	NA	1
3e9dfe1652b4fb10299d268aef148b59	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aequorivita	unclassified_Aequorivita	1_obligate_aerobe	no	no	NA
09f9294499192d4eecf29e85501cc425	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	unclassified_Bergeyella	1_obligate_aerobe	no	NA	2
b74bb412a90b927e38ed38f0a67f8903	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	unclassified_Bergeyella	1_obligate_aerobe	no	NA	2
c94da6bdc9f062d96fbe976cd2028e2a	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	unclassified_Bergeyella	1_obligate_aerobe	no	NA	2
7554ab04641923e9511641bb3722769c	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	unclassified_Bergeyella	1_obligate_aerobe	no	NA	2
53f35fbed6b19a16f807663858c1fa87	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	unclassified_Bergeyella	1_obligate_aerobe	no	NA	2
d829bee4984f82ffc2453212157caf96	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	unclassified_Bradyrhizobium	1_obligate_aerobe	no	yes	NA
6e6f306a337ba255a7f4a7f8469ff691	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	unclassified_Cellvibrio	1_obligate_aerobe	no	yes	NA
7a6d4a1bfc7606e2b28d1aec9abe8368	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	unclassified_Comamonas	1_obligate_aerobe	no	yes	1
68262884f1021c896f8e1bf7348d773c	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	unclassified_Flavobacterium	1_obligate_aerobe	no	no	1
