featureid	rab.all	rab.win.n	rab.win.x	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Bifidobacterium	11.3009384164171	11.34430310366	11.2801634588288	0.18060309919023	1.2926062504975	0.0628294558001948	0.445312531280238	0.500902375231094	0.906230019845307	0.735821491726664	0.958881294324752
Escherichia-Shigella	9.44247791015694	9.13774398962635	9.5340064614069	0.34344139260686	2.48156498243494	0.0888753323619476	0.432291705646073	0.39408688935485	0.879419094151001	0.704108484905899	0.961444669514318
Bacteroides	2.59924070067896	3.34145751098669	2.5031817587744	0.178591588627766	8.3469172377729	0.0207716370511885	0.488311694886532	0.744049552428839	0.937449641995473	0.813079765062524	0.967521680533151
Enterococcus	6.38881278768354	6.90124860035222	6.38881278768354	-0.31882667676425	4.75837753574902	-0.0535030232750332	0.470129886983215	0.830053550081932	0.954415235961254	0.806452188855206	0.971398201385457
[Ruminococcus]_gnavus_group	1.60078192896557	1.15905317236322	1.73952716901244	0.552080130999609	7.76143572288513	0.0618471723647077	0.466145852553757	0.659821962524989	0.927312235440731	0.661564052566208	0.950998339663573
Streptococcus	8.34815844337255	7.66865936391751	8.67004851589234	1.2548343560449	2.63033403002861	0.436005656684427	0.31168843505769	0.233845686429935	0.840144889232782	0.205702417792935	0.847980641360038
Staphylococcus	2.12544547096245	-0.177395548001645	2.56567135373239	2.73005383441288	3.80025109932989	0.677802809684178	0.210389855415166	0.0903591469438206	0.676329404592293	0.0555815018315018	0.511726653827063
unclassified_Enterobacteriaceae	5.11319008186709	7.66143236037626	4.71537438678238	-2.00644194008054	6.19455574294263	-0.32206794046705	0.320312616608314	0.146471348227314	0.806421462052818	0.188755473453749	0.845235773525691
Veillonella	7.04169988685452	7.44877766106073	7.04074473060515	0.584572358050013	4.33891418851173	0.128552793152781	0.457142881415775	0.790579194570876	0.950272019414596	0.876025009473285	0.978280268556202
Haemophilus	3.3697522063541	2.48982389694413	4.32031215394581	1.28384892291563	5.30471460226604	0.191756958905096	0.405194860482653	0.552927805294719	0.906122643400221	0.557658427539893	0.941702963168347
Clostridium_sensu_stricto_1	5.29021920849598	6.88292134464788	4.86349305587343	-1.72860772195461	6.45738686089892	-0.246456672404347	0.385416735011439	0.458587955105952	0.88647940876399	0.400746468569744	0.912782786374505
Erysipelatoclostridium	0.908918828504266	0.969019621219287	0.890277654065258	0.242653610897096	6.31567277951655	0.0381320758935469	0.485714293752376	0.718121541819953	0.93548211121333	0.7491495621237	0.962408197016014
Lactobacillus	4.59239969283856	6.44990391379333	4.08560105757899	-1.89475696810091	6.65051390682565	-0.246659855756499	0.389610454852299	0.502769605027622	0.902581260232911	0.43772349058987	0.919224725939454
Lachnoclostridium	0.163800201074244	0.0864157093657418	0.184202590327377	0.311329601432792	7.56151151445266	0.0396327173612054	0.476562513274613	0.688615025822607	0.927748749052564	0.630663327333586	0.93859261225149
Megasphaera	-0.680148599640362	-0.41208569013978	-0.764373070520641	0.111143696475269	5.25230614379597	0.01301953764227	0.492187504416227	0.527503205816633	0.895368168533382	0.529335080628184	0.915451628117198
Sutterella	-0.151915576242491	-1.2243034817434	0.206945741316947	2.03034237487113	5.67545287910691	0.300199212044774	0.332467638567009	0.226529009429311	0.754188694372096	0.334817533998568	0.812278708786503
Intestinibacter	0.577986001657051	4.23195350717266	-0.0237575517416317	-4.04358575538572	4.24158950721105	-0.809556668152705	0.171875325703784	0.0598857734162775	0.473261940623115	0.0146769609700644	0.393112735839652
Parabacteroides	0.00936783768258742	1.67210884743585	-0.37700761778668	-1.94297848472392	6.47108698416665	-0.286069261654647	0.375000075351832	0.376633423915708	0.865351189577489	0.367756989179403	0.865310192959677
unclassified_Erysipelotrichaceae	-0.582463541563032	0.45202955565721	-0.823101439892611	-1.65983455431806	6.48444329943583	-0.25789527788468	0.369791745605842	0.410448303350004	0.863733962500958	0.420553253020925	0.865143146709593
Tyzzerella	-0.337206082153094	-0.694784192049198	-0.249510005632224	0.0492914048489164	5.90952935436628	0.00921674545967894	0.496103898294446	0.603675759468208	0.912442574833087	0.604853453538798	0.93170481879299
Flavonifractor	-0.124900978273595	-1.49790971436299	0.377185256124718	2.01815102150573	4.57418656776889	0.415248045226376	0.332467638567009	0.261087701135071	0.783660684389107	0.269185560607974	0.773348615182714
Gemella	2.62199148407859	2.09568563971903	2.86630869059915	0.258783227062701	3.67893678679682	0.062021314428757	0.479166678460872	0.670017219497568	0.92844018098681	0.747361190055156	0.961646165421597
Romboutsia	-0.782038144769909	-0.747215807840285	-0.788255619517936	-0.490146827618301	4.95023834078312	-0.0744612039123638	0.45572919188353	0.548892645962577	0.889517631088402	0.558718988147867	0.916727914845875
Sellimonas	-0.692093937548739	0.150564281204281	-0.875692415969852	-1.44718328252185	5.2058672046975	-0.247148524227275	0.364583415920345	0.476418548768149	0.861938119188784	0.462260417982401	0.876717183327945
Hungatella	-0.698617389918405	-0.64338742947748	-0.713314086850026	-0.36027014785098	6.05782988577487	-0.0472305491734733	0.472727288105946	0.578177694038554	0.902162941558003	0.591261315313039	0.921472103450502
[Clostridium]_innocuum_group	-0.835891604998861	-1.27932375798301	-0.683717598837604	0.508047046909588	4.45231113671651	0.101122471282574	0.462337683632515	0.498562050637946	0.876886740864237	0.52695391772978	0.893409785945865
Rothia	2.74460667311029	1.59609283543219	3.17467365732661	1.2072426856353	5.28240029006144	0.192609034733671	0.405194860482653	0.623265122754565	0.917549856307867	0.508387699465286	0.924246464493608
Neisseria	-0.898367167062481	-0.798935561395499	-0.922302429926409	-0.241148526786639	4.41961967970666	-0.0595204883341727	0.46875001772985	0.549000463855764	0.895168950797292	0.596883815418298	0.931067492091529
Corynebacterium	-0.812643883181373	-0.621984779768989	-0.853108999889834	0.164268379212084	3.8951673233052	0.0297733970131709	0.486979174030241	0.473455974107345	0.851206654401513	0.54169521809608	0.900032524673001
Paeniclostridium	-0.887646966931825	-1.09103502088806	-0.839691702089627	0.73287106912895	4.37660670462125	0.110962445314117	0.428571469565685	0.510535703471803	0.879731112912717	0.524736379520862	0.897773282581337
Anaerococcus	-0.722884567962336	-0.639663248113832	-0.748618827988282	-0.317396465586008	4.21577376354722	-0.0665492214927182	0.472727288105946	0.482115246591709	0.869898438616532	0.506321720664393	0.902955407565447
Phascolarctobacterium	-1.03425415707488	-1.40495314225681	-0.929429137710826	0.651971699685516	4.53334843227547	0.130395650654285	0.442708366141839	0.483694722989886	0.869682411562455	0.503062081596564	0.87731995662166
unclassified_Pasteurellaceae	-0.520093333522873	-0.959560237351742	-0.427486802082641	0.251987689901582	5.11614936918637	0.0361869692196419	0.46875001772985	0.569644585475317	0.903771959329711	0.583785959012252	0.92677022206497
Epulopiscium	-0.966331324731071	-1.06026168622761	-0.945832682523308	0.252938332196098	4.44949354130063	0.0499931352836959	0.483116892619525	0.49335995890238	0.866391426580641	0.497627823565324	0.890073414665933
Acidaminococcus	-1.00840536070495	-1.37862428023031	-0.911419547648292	0.207859876046878	4.12118476739735	0.0492352451598472	0.475324689231185	0.473953575292213	0.8697609272532	0.506830501873605	0.895729452413889
Eggerthella	1.04046026869797	1.49396867737211	0.876223407731183	-0.322377418001714	4.6819231482401	-0.0609882603642592	0.475324689231185	0.60924387703553	0.903599078930373	0.689692618205549	0.942331801223322
Incertae_Sedis	-1.08493223274306	-1.63655925465848	-0.949668027842783	0.657808392142115	4.75013714564194	0.118985014491852	0.434895870760785	0.519720230132329	0.878753855524364	0.513819733905941	0.886694593689953
Granulicatella	1.12959100340439	2.15061036906046	1.00491250401977	-0.663163401635451	5.35386285313314	-0.115867087890715	0.441558474869782	0.625286155264931	0.911477003702761	0.672819960212202	0.94626238431783
[Ruminococcus]_torques_group	-0.856409069003886	-0.984722226487711	-0.829711439678325	0.244059425064496	4.29751777647219	0.0505365523090746	0.475324689231185	0.551391413936935	0.890805661037307	0.58342422424319	0.918747461103836
Akkermansia	-0.834230201333174	-1.28616010536688	-0.726180204873518	0.618794424689068	4.24476161457333	0.123974323487641	0.441558474869782	0.448593240897898	0.854058500608397	0.474418669213928	0.877728628930157
unclassified_Enterobacterales	-0.957190843101234	-0.981720477763268	-0.94721060405098	0.0433199432579858	4.5108066057948	0.0101209233743371	0.497395834805089	0.518654724894978	0.873799015656726	0.54426582038651	0.914913754348836
unclassified_Lachnospiraceae	-1.00760797125648	-1.5186340600169	-0.905392661069256	0.58706202557884	4.75824679776496	0.107478644012126	0.433766271668412	0.486901386250957	0.878970495268073	0.520074404761905	0.892848442508901
Anaerostipes	-1.00554182315275	-0.547585810165029	-1.09042718167917	-0.919328310313907	5.32669010736955	-0.161902104830999	0.415584464435902	0.469915403791297	0.8542808440586	0.503727053597743	0.875373354586542
Blautia	-0.683616984201507	0.149781633217508	-0.879737556478201	-1.05253662394556	4.4003757830391	-0.206998206213562	0.389610454852299	0.425932192562437	0.802447838642273	0.446590472506421	0.849937708808425
Actinomyces	1.33765163465731	0.385371103184815	1.62022899644605	1.29526739425713	4.38010074463964	0.258379417603739	0.340259840275115	0.352082183011692	0.842003232406021	0.332654243505537	0.838457751706114
Coprobacillus	-0.872200298139747	0.179637129641874	-1.07957127046456	-1.4358156398154	4.73639069494522	-0.27361300067208	0.36363644646146	0.395452176115994	0.837387305111855	0.4006409203823	0.85220066546798
Faecalibacterium	-0.999662300703817	-1.28574140287202	-0.96684297082036	0.132662074901392	4.29180479727332	0.0266576512659427	0.475324689231185	0.482548770960933	0.884427778930339	0.517678742474001	0.910194837217925
Finegoldia	-0.940916868134814	-1.26467818620245	-0.829508019406184	0.637840369719203	4.3199004867728	0.136294908776405	0.429687540537985	0.503432338086633	0.876749515040654	0.550715640920382	0.91124526052731
Terrisporobacter	-0.657121791555926	-0.656354873187558	-0.657121791555926	-0.0437336709191731	5.22933088530406	-0.0100056636006659	0.497395834805089	0.596682080582978	0.903473579868214	0.599572517999242	0.924988673387925
Collinsella	-0.492747866094845	3.96041485272419	-0.826432025642554	-4.30356198677587	5.75104296141744	-0.635353775361588	0.280519633363839	0.176115293725647	0.733179996956029	0.185972222222222	0.724945220149668
unclassified_Ruminococcaceae	0.0101745928157735	1.45894400098428	-0.189602998419585	-1.17704098939074	4.40517272716721	-0.245029128768677	0.3688312480254	0.441055133155519	0.836945440817257	0.404133154919793	0.865463066863217
Ruminococcaceae_UBA1819	-0.877754590727005	-1.34324122041787	-0.724378374296704	0.801109354499726	4.49054153878291	0.157363720849859	0.412987063434108	0.482483098430728	0.86859508115067	0.508361832133384	0.895655403247595
