featureid	rab.all	rab.win.S_M01	rab.win.S_M02	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Bifidobacterium	11.5042830325877	11.4763155426977	11.5431155136875	0.0138677985906144	1.67830149787384	0.0031394314072564	0.496095783534293	0.63595192376288	0.940967334224495	0.772521088464415	0.963476086188545
Escherichia-Shigella	4.92970695607507	4.37200914622653	7.77168280163826	0.552207126486118	8.21546068355279	0.0626142382467192	0.461218116445886	0.580982394720469	0.936701720318165	0.65105254619689	0.953307430924178
Bacteroides	2.0586045712238	2.00204345900852	2.14960187955574	-0.10432909012317	8.08664868861795	-0.0127437913660123	0.492972410361748	0.757147704709466	0.956892307762149	0.748016928476139	0.963779552954613
Enterococcus	3.59974263187498	3.61329583391665	3.5850868692164	0.167505449885187	6.95964306993019	0.0259654329402	0.490890161580072	0.759613026483613	0.956503995227211	0.801021704915888	0.969608170181209
[Ruminococcus]_gnavus_group	0.751788027601958	0.31797631616583	1.30438449083414	1.29450761503727	6.93062843124789	0.173487863065205	0.411244145744672	0.295880907224661	0.873690782002614	0.278786308537163	0.862518268651108
Streptococcus	9.78862664134959	10.0388163196704	9.26002516788718	-0.527723472849452	2.20986950301119	-0.225300995655163	0.39718896650539	0.222624134508245	0.88414568991565	0.233745535863292	0.898841788539985
Staphylococcus	6.11101901746066	7.2860270079256	4.96194157437174	-2.32714341013431	4.57656725424762	-0.45834070759892	0.27798022488113	0.00588136825492869	0.303079966805912	0.0038206238892302	0.243403831846268
unclassified_Enterobacteriaceae	6.02192107402472	6.2503743838671	5.8744963509209	0.734314603531921	8.15266075881485	0.0921070551549881	0.446121812787456	0.516550566404445	0.928140380751004	0.495188461387556	0.941935949265369
Veillonella	6.09178388343265	5.70120948439432	6.44975716968158	0.402458578256753	4.63118836252659	0.0798351770337585	0.458094743274709	0.677560702275452	0.947459534335567	0.612864036234631	0.952338042231584
Haemophilus	4.56254065384838	4.6114153350255	4.50618877413802	-0.751513724742986	6.06561652696888	-0.107470117858657	0.45601249449405	0.552721593244086	0.924962725540054	0.572461455763865	0.946813366166069
Clostridium_sensu_stricto_1	4.22068020289192	3.62719613131344	5.21159657026733	0.198066068136555	7.98373100678698	0.0234415527514138	0.490104166890456	0.797779709452923	0.958940908988207	0.844431529430189	0.972315897089442
Erysipelatoclostridium	0.0410325252010946	0.00428789648156513	0.079511595937479	0.237929304748461	5.30233460431565	0.0363266807759394	0.475000000566557	0.453411965229579	0.89068580633021	0.547656042105365	0.9238407335858
Lactobacillus	3.86415234092137	3.53273037092199	4.87965263795117	0.678646652264839	7.12986926227665	0.0925669294021034	0.45601249449405	0.607189651378145	0.935642920875518	0.564587938496706	0.949036855481181
Lachnoclostridium	-0.129617686077512	-0.134822713628763	-0.124790363515482	0.0132928535131995	5.86450320758495	0.00155969559718297	0.498178032316001	0.62759684850462	0.93818255419355	0.546455349962482	0.933741809860006
Megasphaera	-0.386488855085611	-0.256691966486195	-0.536036535378931	-0.38932210668021	4.34337049514356	-0.0775809750456404	0.461738678641103	0.489246871108252	0.89757259020111	0.48822740573184	0.914692566802957
Sutterella	-0.12775433355421	-0.160538966716856	-0.103404408966754	0.0320244327689911	5.93678298998154	0.00424213198164006	0.496875000070645	0.617123867564229	0.936803161876646	0.592578706758672	0.941735980719211
Intestinibacter	-0.156328118394462	-0.259119399857162	-0.0152176782839177	0.316890870701174	5.03741139238187	0.0577118214923297	0.463300365226788	0.494466759866364	0.904176010086778	0.510718133031987	0.913925292058436
Parabacteroides	0.0237903546731788	-0.078573185918799	0.122672134251038	0.0307728981870845	7.62929502148885	0.00369952025623725	0.498437500035322	0.644702020720539	0.941478138318036	0.578619333044851	0.941460008575233
unclassified_Erysipelotrichaceae	-0.616402445282596	-0.672260406256068	-0.537118279252218	0.24576783130254	4.42741976674132	0.047522084270938	0.471354167316356	0.511174266305267	0.902512611078553	0.515683772838939	0.917358279951391
Tyzzerella	-0.240142576830283	-0.3294071190518	-0.149429278792573	0.18240046295322	5.53875972359106	0.026663096873217	0.481770833745963	0.60152038856633	0.925311026968834	0.541415683114843	0.917160341728016
Flavonifractor	-0.710854248743146	-0.830886415588977	-0.569644349725682	0.339081776703591	4.76122351609939	0.0597251676945737	0.462259240836326	0.454174596202939	0.888142061597603	0.480085825126304	0.903649356548352
Gemella	2.54925111500865	2.68184243297887	2.38132627205342	-0.515852256934775	5.15457514175581	-0.0921624890929688	0.460416667567115	0.631010787221567	0.938325872612875	0.653027627610515	0.95627807756018
Romboutsia	-0.522821644028291	-0.4966140239493	-0.561076022092783	0.00567435538635852	4.37992706885256	0.000759291844343813	0.498698594511429	0.485013250120416	0.91078182420529	0.486328095640701	0.916060469909331
