"","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance"
"B_i01_S_M01",49,50.6666666666667,10.0875464907354,0.900867867036011,2.70415938216195,7.93747663137144,4,0.265585392051558,0.694831511998319,0.205868295729294,0.185650164951635,0.352861842105263,0.175,0.318421052631579,665,0.175,0.0991321329639889,0.344736842105263,0.998345075286641,2.03006673960856,0.0142105263157895,0.31921052631579
"B_i01_S_M02",47,47.6,6.95020686973079,0.856119390581717,2.52288092741993,7.55285083759426,3,0.235061590145577,0.65526862562344,0.147876741909166,0.217221450048667,0.339851258581236,0.301052631578947,0.467105263157895,1144,0.301052631578947,0.143880609418283,0.414473684210526,0.998511304507988,2.04710210498542,0.0107894736842105,0.383157894736842
"B_i01_S_M03",44,44.5,8.0550959638614,0.875854986149584,2.49574516819666,6.98287366855401,3,0.248044258373206,0.659519054179242,0.183070362815032,0.195038966812496,0.315104039167687,0.226578947368421,0.383684210526316,861,0.226578947368421,0.124145013850416,0.258421052631579,0.998618593728415,2.05018604086271,0.00789473684210526,0.350263157894737
"B_i01_S_M04",46,46.5,9.47102613714623,0.894414819944598,2.66434855894919,7.36191992171876,4,0.266401601830664,0.695899219339901,0.205891872546657,0.229729093143663,0.343754385964912,0.199736842105263,0.340789473684211,759,0.199736842105263,0.105585180055402,0.226578947368421,0.998371859219352,2.04633376622599,0.0139473684210526,0.368421052631579
"B_i01_S_M05",52,53,7.6583160614617,0.869422991689751,2.49805137003734,8.52118140582265,3,0.221599190283401,0.632219004433922,0.147275308874263,0.236578925586869,0.280804953560372,0.236052631578947,0.412368421052632,897,0.236052631578947,0.130577008310249,0.275526315789474,0.998533407008335,2.0566355831247,0.0271052631578947,0.273947368421053
"B_i01_S_M06",51,51,10.1923272386416,0.901886980609418,2.75159729555776,8.32572322169404,4,0.259628482972136,0.699826887707429,0.199849553698855,0.261718292820182,0.344536842105263,0.152894736842105,0.304210526315789,581,0.152894736842105,0.0981130193905817,0.245263157894737,0.998154594710749,2.05351320974901,0.00921052631578947,0.396578947368421
"B_i01_S_M07",59,62.5,10.9487501440625,0.908665373961219,2.83055690925997,9.91353412552145,4,0.260053523639608,0.694182934724613,0.185572036340042,0.204197236352298,0.336778584392014,0.177894736842105,0.312105263157895,676,0.177894736842105,0.0913346260387812,0.265526315789474,0.998066645178125,2.04600957584435,0.0157894736842105,0.373157894736842
"B_i01_S_M08",55,57.5,12.0279007315029,0.916859972299169,2.93169244898453,9.11279293301415,5,0.31688038277512,0.731581905839072,0.218689104209144,0.215394796476768,0.378971734892788,0.184210526315789,0.293421052631579,700,0.184210526315789,0.083140027700831,0.162105263157895,0.997892357753527,2.04703518491954,0.0136842105263158,0.452105263157895
"B_i01_S_M09",46,46,12.7974022336962,0.921859141274238,2.87494843358976,7.36191992171876,5,0.336567505720824,0.750905644029789,0.278204396384699,0.216999635837009,0.392292397660819,0.145526315789474,0.267894736842105,553,0.145526315789474,0.0781408587257618,0.132105263157895,0.998069791714633,2.01142079541255,0.0184210526315789,0.465
"B_i01_S_M10",66,68.5,8.92521608417888,0.887957894736842,2.74527051608386,11.3463686344521,3,0.367938596491228,0.655249820121466,0.135230546729983,0.240621919325945,0.308251012145749,0.208947368421053,0.38,794,0.208947368421053,0.112042105263158,0.0647368421052632,0.998047996193458,2.05414685671272,0.0194736842105263,0.502631578947368
