"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","Shannon","M01","M02",0.194218186698202,0.19,"0.19","ns","T-test"
"2","Shannon","M02","M03",0.189944232281141,0.19,"0.19","ns","T-test"
"3","Shannon","M03","M04",0.683694517459156,0.68,"0.68","ns","T-test"
"4","Shannon","M04","M05",0.196811942412287,0.2,"0.2","ns","T-test"
"5","Shannon","M05","M06",0.862840637600385,0.86,"0.86","ns","T-test"
"6","Shannon","M06","M07",0.313832098861839,0.31,"0.31","ns","T-test"
"7","Shannon","M07","M08",0.420551438226589,0.42,"0.42","ns","T-test"
"8","Shannon","M08","M09",0.280138601140357,0.28,"0.28","ns","T-test"
"9","Shannon","M09","M10",0.972668645861388,0.97,"0.97","ns","T-test"
"10","Shannon","M10","M11",0.182412320994428,0.18,"0.18","ns","T-test"
"11","Shannon","M11","M12",0.27035924079621,0.27,"0.27","ns","T-test"
