"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","Shannon","M01","M02",0.577336983793893,0.58,"0.58","ns","T-test"
"2","Shannon","M02","M03",0.370418633507765,0.37,"0.37","ns","T-test"
"3","Shannon","M03","M04",0.564058871393786,0.56,"0.56","ns","T-test"
"4","Shannon","M04","M05",0.570616791537357,0.57,"0.57","ns","T-test"
"5","Shannon","M05","M06",0.572196615534572,0.57,"0.57","ns","T-test"
"6","Shannon","M06","M07",0.927964434845941,0.93,"0.93","ns","T-test"
"7","Shannon","M07","M08",0.748445410863136,0.75,"0.75","ns","T-test"
"8","Shannon","M08","M09",0.916781665709628,0.92,"0.92","ns","T-test"
"9","Shannon","M09","M10",0.648961517828941,0.65,"0.65","ns","T-test"
"10","Shannon","M10","M11",0.393985114440599,0.39,"0.39","ns","T-test"
"11","Shannon","M11","M12",0.556686916192833,0.56,"0.56","ns","T-test"
