"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","Shannon","n","x",0.214674038840632,0.21,"0.21","ns","T-test"
"2","Shannon","n","x",0.069972223323989,0.07,"0.07","ns","T-test"
"3","Shannon","n","x",0.0546778662423553,0.055,"0.055","ns","T-test"
"4","Shannon","n","x",0.0287155598829637,0.029,"0.029","*","T-test"
"5","Shannon","n","x",0.0435972504522589,0.044,"0.044","*","T-test"
"6","Shannon","n","x",0.0822293713902842,0.082,"0.082","ns","T-test"
"7","Shannon","n","x",0.186546180355524,0.19,"0.19","ns","T-test"
"8","Shannon","n","x",0.279340199328531,0.28,"0.28","ns","T-test"
"9","Shannon","n","x",0.563189641997612,0.56,"0.56","ns","T-test"
"10","Shannon","n","x",0.908094487099855,0.91,"0.91","ns","T-test"
"11","Shannon","n","x",0.661471263202079,0.66,"0.66","ns","T-test"
"12","Shannon","n","x",0.369919313913216,0.37,"0.37","ns","T-test"
