"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","evenness","M01","M02",0.0752545036311416,0.075,"0.075","ns","T-test"
"2","evenness","M02","M03",0.337808604956024,0.34,"0.34","ns","T-test"
"3","evenness","M03","M04",0.988183677297096,0.99,"0.99","ns","T-test"
"4","evenness","M04","M05",0.56405942359564,0.56,"0.56","ns","T-test"
"5","evenness","M05","M06",0.977119722663257,0.98,"0.98","ns","T-test"
"6","evenness","M06","M07",0.458438578450222,0.46,"0.46","ns","T-test"
"7","evenness","M07","M08",0.558756238908984,0.56,"0.56","ns","T-test"
"8","evenness","M08","M09",0.369783082085794,0.37,"0.37","ns","T-test"
"9","evenness","M09","M10",0.979330846508989,0.98,"0.98","ns","T-test"
"10","evenness","M10","M11",0.447616134576893,0.45,"0.45","ns","T-test"
"11","evenness","M11","M12",0.294969213166553,0.29,"0.29","ns","T-test"
