"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","evenness","M01","M02",0.61422763575746,0.61,"0.61","ns","T-test"
"2","evenness","M02","M03",0.933594424079954,0.93,"0.93","ns","T-test"
"3","evenness","M03","M04",0.403248701835407,0.4,"0.4","ns","T-test"
"4","evenness","M04","M05",0.430106216181021,0.43,"0.43","ns","T-test"
"5","evenness","M05","M06",0.831076755607905,0.83,"0.83","ns","T-test"
"6","evenness","M06","M07",0.963975072101669,0.96,"0.96","ns","T-test"
"7","evenness","M07","M08",0.887188525552977,0.89,"0.89","ns","T-test"
"8","evenness","M08","M09",0.740866009319824,0.74,"0.74","ns","T-test"
"9","evenness","M09","M10",0.609224115934594,0.61,"0.61","ns","T-test"
"10","evenness","M10","M11",0.293200070076733,0.29,"0.29","ns","T-test"
"11","evenness","M11","M12",0.948847939135318,0.95,"0.95","ns","T-test"
