"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","evenness","n","x",0.226123073282184,0.23,"0.23","ns","T-test"
"2","evenness","n","x",0.167237625896135,0.17,"0.17","ns","T-test"
"3","evenness","n","x",0.156267993708491,0.16,"0.16","ns","T-test"
"4","evenness","n","x",0.0539479695666343,0.054,"0.054","ns","T-test"
"5","evenness","n","x",0.0724493140885524,0.072,"0.072","ns","T-test"
"6","evenness","n","x",0.211568781252967,0.21,"0.21","ns","T-test"
"7","evenness","n","x",0.271018270458865,0.27,"0.27","ns","T-test"
"8","evenness","n","x",0.439468734274632,0.44,"0.44","ns","T-test"
"9","evenness","n","x",0.602661111248975,0.6,"0.6","ns","T-test"
"10","evenness","n","x",0.975081459757107,0.98,"0.98","ns","T-test"
"11","evenness","n","x",0.792199410430685,0.79,"0.79","ns","T-test"
"12","evenness","n","x",0.492053218601511,0.49,"0.49","ns","T-test"
