"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","richness","M01","M02",0.829922624981577,0.83,"0.83","ns","T-test"
"2","richness","M02","M03",0.111300742144111,0.11,"0.11","ns","T-test"
"3","richness","M03","M04",0.85433009941582,0.85,"0.85","ns","T-test"
"4","richness","M04","M05",0.607254241208617,0.61,"0.61","ns","T-test"
"5","richness","M05","M06",0.331457102805965,0.33,"0.33","ns","T-test"
"6","richness","M06","M07",0.49638348203699,0.5,"0.5","ns","T-test"
"7","richness","M07","M08",0.921505709048769,0.92,"0.92","ns","T-test"
"8","richness","M08","M09",0.359329222697599,0.36,"0.36","ns","T-test"
"9","richness","M09","M10",0.627724181177439,0.63,"0.63","ns","T-test"
"10","richness","M10","M11",0.094214570013424,0.094,"0.094","ns","T-test"
"11","richness","M11","M12",0.629149564006221,0.63,"0.63","ns","T-test"
