"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","richness","M01","M02",0.763955292889265,0.76,"0.76","ns","T-test"
"2","richness","M02","M03",0.392327627947376,0.39,"0.39","ns","T-test"
"3","richness","M03","M04",0.830550237047833,0.83,"0.83","ns","T-test"
"4","richness","M04","M05",0.366478388216727,0.37,"0.37","ns","T-test"
"5","richness","M05","M06",0.978989839208426,0.98,"0.98","ns","T-test"
"6","richness","M06","M07",0.48320700801303,0.48,"0.48","ns","T-test"
"7","richness","M07","M08",0.404841895870889,0.4,"0.4","ns","T-test"
"8","richness","M08","M09",0.967065241168084,0.97,"0.97","ns","T-test"
"9","richness","M09","M10",0.88986518585655,0.89,"0.89","ns","T-test"
"10","richness","M10","M11",0.596856034815896,0.6,"0.6","ns","T-test"
"11","richness","M11","M12",0.365925647777594,0.37,"0.37","ns","T-test"
