"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","richness","n","x",0.0632454828426592,0.063,"0.063","ns","Wilcoxon"
"2","richness","n","x",0.624998583817953,0.62,"0.62","ns","Wilcoxon"
"3","richness","n","x",0.0189465706707086,0.019,"0.019","*","Wilcoxon"
"4","richness","n","x",0.165752380661219,0.17,"0.17","ns","Wilcoxon"
"5","richness","n","x",0.0210141040075224,0.021,"0.021","*","Wilcoxon"
"6","richness","n","x",0.188312824404829,0.19,"0.19","ns","Wilcoxon"
"7","richness","n","x",0.302477298933136,0.3,"0.3","ns","Wilcoxon"
"8","richness","n","x",0.20714986722794,0.21,"0.21","ns","Wilcoxon"
"9","richness","n","x",0.777195336894084,0.78,"0.78","ns","Wilcoxon"
"10","richness","n","x",0.50994682647138,0.51,"0.51","ns","Wilcoxon"
"11","richness","n","x",0.197921574052155,0.2,"0.2","ns","Wilcoxon"
"12","richness","n","x",0.249406877926776,0.25,"0.25","ns","Wilcoxon"
