Feature ID	domain	phylum	class	order	family	genus	species
5da32e051bdda695c26f4cc556c3aede	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	unclassified_Nitrosarchaeum
2adccff17465d2fa0d6fc67dcfecf46a	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilaceae	unclassified_Nitrosopumilaceae
9d7b1963f8036854dd7b9aad0149310f	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrososphaera	unclassified_Candidatus_Nitrososphaera
b0372398b1f80937c46796f03faeec9d	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrososphaera	unclassified_Candidatus_Nitrososphaera
8a25993167a6e6aa18d7e50841f491ec	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	unclassified_Nitrososphaeraceae	unclassified_Nitrososphaeraceae
2190e16dcb99027d5573b369e49dcbc9	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	unclassified_Nitrosotaleaceae	unclassified_Nitrosotaleaceae
82e20809d121d111cbf4a4bf76f423e7	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	unclassified_Nitrosotaleaceae	unclassified_Nitrosotaleaceae
0aaca47bc33db90103c3c096c0fe391a	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	unclassified_Nitrosotaleaceae	unclassified_Nitrosotaleaceae
b2789a83c9850e727b07136e19260614	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	unclassified_Nitrosotaleaceae	unclassified_Nitrosotaleaceae
63e37c5bbd8782c760426391d6e20edc	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
350e2ca44f40ce7ba455c4463730785e	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
38802b379cd430ee550000bd2fc3bc25	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
438b24968a318eea8ed26956e734d586	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter_smithii
f1f852049ccfcfad0db2754f0e6ae827	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter_smithii
