tp,Streptococcus,Parabacteroides,Haemophilus,Romboutsia,Lachnoclostridium,Escherichia-Shigella,Enterococcus,Anaerostipes,Bifidobacterium,Phascolarctobacterium
M01,0,2,4,,0,0,0,,,
M02,0,0,8,,0,,,,0,
M03,40,4,44,,,6,6,,0,
M04,32,0,28,,,0,0,,0,
M05,16,0,6,,,2,0,,0,
M06,0,18,0,,0,0,,,0,0
M07,60,8,12,,6,0,14,,40,
M08,36,0,18,,,0,8,,92,
M09,1276,610,542,920,0,478,136,,112,0
M10,18,150,138,150,250,192,150,,0,206
M11,666,478,530,376,66,520,312,66,160,62
M12,442,524,432,28,1152,224,756,1296,940,960
