"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K18940",34.7880449472129,-4.75449521407668,0.742737811590526,-6.40131031419449,1.54049114936204e-10,6.00720316338662e-07
"K13727",15.4991082388581,-5.16755586831765,0.816244632942719,-6.33089108309064,2.43749367554742e-10,6.00720316338662e-07
"K25031",58.4528591386173,-4.57894669912698,0.770326325642682,-5.94416489051802,2.77869788873769e-09,4.56540063119602e-06
"K23269",26.7228264343728,-4.12777611627079,0.762320251202337,-5.41475332678153,6.137325555682e-08,7.56271941598914e-05
"K16169",35.7816599989479,-3.7989361033618,0.712530124440296,-5.33161472484539,9.73432926347792e-08,9.59610178793653e-05
"K20542",56.9994419955506,-2.33470537850692,0.441300551382554,-5.2905109028133,1.2197515015356e-07,0.00010020258585115
"K08996",59.9169450480886,-3.27494055055036,0.628899428373002,-5.20741537168004,1.9148912316606e-07,0.00013483569829793
"K08153",20.8097036516818,-5.7953021703803,1.12075223781409,-5.17090394723049,2.32964298279707e-07,0.000143535128277585
"K23265",28.6694337858437,-3.83156219262285,0.754125810461435,-5.08079970141639,3.75849254347218e-07,0.000205840108297493
"K03667",67.2633358923334,-2.0916831818553,0.425605190067963,-4.91460919807225,8.89597311395737e-07,0.000408674497235258
"K08992",48.2674472448042,-2.48452740153659,0.506041909793191,-4.90972655318601,9.12034787905831e-07,0.000408674497235258
"K01250",23.3868708331712,-3.8832653881399,0.801304015993579,-4.84618236104162,1.25859836124377e-06,0.000516969276880879
"K10530",18.9540601101399,-3.34986042138003,0.703536802183614,-4.76145726987252,1.92199997511277e-06,0.000728733682871603
"K05847",161.839876171967,-1.29309472669397,0.272571489544596,-4.74405716039646,2.09479696836932e-06,0.000737518161220885
"K24915",108.467116509953,-2.83249789567821,0.60457402657866,-4.68511343715438,2.79804920202902e-06,0.000919438967786738
"K01419",58.1336629612095,-2.1091087178583,0.454557355336602,-4.63991769816704,3.48547962023e-06,0.00107374556550711
"K03635",35.5991663488193,-2.24460731561507,0.487280560484838,-4.60639618658646,4.09707454887192e-06,0.00116272717131574
"K01269",249.713914858701,1.54311209403017,0.33645407153657,4.5863974449257,4.50959760264006e-06,0.00116272717131574
"K23264",27.8073613803674,-3.37683442119934,0.736679233405345,-4.58385993261914,4.56470071638338e-06,0.00116272717131574
"K03366",37.0902463535859,-4.70825574694822,1.02868709824955,-4.57695615601669,4.71790290653577e-06,0.00116272717131574
"K04750",56.2897521870004,-2.69333466180995,0.590178022505381,-4.56359701497592,5.02845570286996e-06,0.00118025038854505
"K18892",15.6217307293316,-4.67147637847093,1.03268957315919,-4.52360176754766,6.07960664949166e-06,0.00133591168963404
"K13953",41.7291131008069,-2.54057572192465,0.563257455068597,-4.51050527438689,6.46733932135421e-06,0.00133591168963404
"K18104",8.81260261507344,-5.78935858928293,1.28387595770947,-4.50928187767578,6.50474346748161e-06,0.00133591168963404
"K11733",136.807356250249,-3.10588452617902,0.717285135251629,-4.33005561322479,1.49071689316016e-05,0.00293909742655458
"K05910",13.7083370229561,-4.71773946831629,1.09649295521815,-4.30257161787026,1.68827073486495e-05,0.00320057171236513
"K02573",84.3279898700097,-1.92501592322769,0.449082470626055,-4.28655324832447,1.81466719882279e-05,0.00331277578629539
"K01255",76.5542969852209,-1.44563785563972,0.33929266563258,-4.26074006918029,2.03751090508658e-05,0.00358674687541849
"K03072",78.719261692714,-2.38318043817211,0.561251188386541,-4.24619223528625,2.17434097408658e-05,0.0036956298831975
"K15539",221.202346254399,-1.36147885315903,0.322209526500631,-4.22544568419632,2.3846834038732e-05,0.00391803483256366
"K01597",50.4232139204725,-2.3177863710725,0.551079522285247,-4.20590182966875,2.60043102361621e-05,0.00403854978223404
"K09759",193.132093562047,1.57095739567205,0.373677857365165,4.20404197013171,2.62190288154776e-05,0.00403854978223404
"K03758",44.9648074063061,-2.21641633241879,0.533318363643442,-4.15589727171032,3.24013396056212e-05,0.00472417076790156
"K21071",973.501707321219,1.09195748962075,0.263366977757043,4.1461442847557,3.38120806027336e-05,0.00472417076790156
