"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K20807",6.95126154057986,-20.4009682365416,2.31060338442955,-8.82928172529199,1.05350060917816e-18,5.89644290957014e-15
"K00627",169.727036334247,-3.36548704650424,0.45373469539869,-7.4173015214255,1.19530618477931e-13,3.34506435810489e-10
"K00116",201.460002298555,-3.62054299489068,0.512853812412433,-7.0596004305006,1.66982055959946e-12,3.1153285573594e-09
"K06048",163.507273706138,-3.67994410648704,0.559816955232115,-6.57347740559455,4.91535352601198e-11,6.87780842127226e-08
"K09475",67.4050970689909,-5.08997059907844,0.788152960038159,-6.45809995921604,1.06025704414342e-10,1.06215285263001e-07
"K02257",155.246812192366,-3.55758699670638,0.55179518031708,-6.44729624978252,1.13863089436842e-10,1.06215285263001e-07
"K25132",121.912209114978,-4.00734529957199,0.626377736063003,-6.39764964310437,1.57786818050931e-10,1.26161831518723e-07
"K03567",147.260204199531,-3.60626265961018,0.574206185244945,-6.28043158063827,3.3763444377196e-10,2.36217497723957e-07
"K19745",229.271003961763,-3.15688259877578,0.508932889634228,-6.20294475573125,5.54162968032354e-10,3.18131780421422e-07
"K15974",229.465899512067,-3.90402467627545,0.629787666602276,-6.1989538431862,5.6839696341151e-10,3.18131780421422e-07
"K10834",99.4838436862879,-3.80492073254297,0.618969041865111,-6.14719069160192,7.88672924304514e-10,3.46847762581812e-07
"K16301",104.947995181057,-3.40994081552049,0.554846800833469,-6.14573394024838,7.95946056898593e-10,3.46847762581812e-07
"K20541",333.739061412262,-3.13274706155171,0.510398567153255,-6.13784454573333,8.36486560197425e-10,3.46847762581812e-07
"K03810",171.071513604292,-3.0562128363675,0.499282848425749,-6.12120533682222,9.28701321220015e-10,3.46847762581812e-07
"K03636",188.739960257303,-2.73888635286005,0.44800712213739,-6.11348841909732,9.74764479865386e-10,3.46847762581812e-07
"K13771",116.453500570548,-3.17205826266188,0.519531077210661,-6.10561793472013,1.02403706476719e-09,3.46847762581812e-07
"K02682",151.483288481467,-3.41977634698342,0.561083037162748,-6.0949558629973,1.09467650482127e-09,3.46847762581812e-07
"K03611",227.708188124012,-3.34224876489462,0.550697931345172,-6.06911443580443,1.28617478021517e-09,3.46847762581812e-07
"K03291",301.953842990291,-3.19896273480986,0.527879435660837,-6.06002529877901,1.36100140500446e-09,3.46847762581812e-07
"K25133",78.8344526872219,-3.82074205151279,0.631665672332461,-6.04867767691805,1.46039503265756e-09,3.46847762581812e-07
"K00242",142.839652810521,-3.41377671646448,0.564468193914881,-6.04777515060354,1.46859718732442e-09,3.46847762581812e-07
"K03721",112.355251008418,-3.46239173603617,0.572881490782937,-6.04381847160787,1.50508846156305e-09,3.46847762581812e-07
"K02742",160.694697506502,-3.31132101550307,0.548181781207595,-6.04055284035258,1.53587075374787e-09,3.46847762581812e-07
"K00163",222.696684304732,-3.23497574507851,0.535570811560716,-6.04023907809951,1.53886042437162e-09,3.46847762581812e-07
"K06447",133.160357848767,-3.99661219649188,0.662244290030799,-6.03495153775658,1.59010400767558e-09,3.46847762581812e-07
"K03557",166.661485558771,-3.07968058666614,0.510487723165501,-6.0328200795295,1.61122776972076e-09,3.46847762581812e-07
"K06320",147.664622036899,4.29909385164206,0.715982683972794,6.00446623623292,1.91962354190594e-09,3.9793085052028e-07
"K00799",564.77784529853,-3.50299644531541,0.585265293808381,-5.98531380960769,2.15973054029166e-09,4.21081156555491e-07
"K05517",225.843071265084,-3.84225093972513,0.64257833775399,-5.97942805410308,2.23922432397107e-09,4.21081156555491e-07
"K07733",599.668214253539,-3.11050663215321,0.520313470579469,-5.97813973312869,2.25700101780681e-09,4.21081156555491e-07
"K05916",140.874141860653,-3.04051849035576,0.510970592663982,-5.95047647361426,2.67363002975231e-09,4.49117474105599e-07
"K03746",222.677181116763,-3.15388827888001,0.530124282735933,-5.94933750742943,2.69229970832909e-09,4.49117474105599e-07
"K09019",152.363338120077,-3.4398626062289,0.578273001808645,-5.94850977906656,2.70594724397879e-09,4.49117474105599e-07
"K22650",144.843805492988,-3.83334849679398,0.644567255617264,-5.9471660457263,2.72824622469008e-09,4.49117474105599e-07
"K06164",236.144128991673,-3.19141804289314,0.537369980515453,-5.93895855483383,2.86838361759591e-09,4.58695517362409e-07
"K16087",220.291860712985,-4.08389294607946,0.68860658090663,-5.9306620925733,3.01715563218812e-09,4.65301220140639e-07
"K07784",110.958095023476,-3.57301042849987,0.602954343745428,-5.92583910467427,3.10706693222215e-09,4.65301220140639e-07
"K06879",169.310567273373,-3.13909464380204,0.529974057065753,-5.92311001255781,3.15909350819087e-09,4.65301220140639e-07
"K23227",171.613622587988,-3.48246616996874,0.589452837187157,-5.90796404778865,3.46361581713336e-09,4.97073275089626e-07
"K03078",277.519200733989,-3.44284808020565,0.583159498529015,-5.90378462305771,3.55255892448464e-09,4.97091807508514e-07
"K10012",83.1667832898879,-4.54982162190854,0.771707611171735,-5.89578430488749,3.72905834519477e-09,4.98503290555455e-07
"K11179",114.039192571791,-3.44963309536862,0.585381760441371,-5.89296306869493,3.79331210563518e-09,4.98503290555455e-07
"K18446",172.738783736236,-3.03603019215352,0.515334329297514,-5.89137967247812,3.82984482649358e-09,4.98503290555455e-07
"K05522",79.0499119194632,-3.54048406594284,0.602731502549164,-5.87406507038189,4.25236330593506e-09,5.31595387889771e-07
"K02679",155.394359333367,-3.41088380339214,0.58075166053512,-5.87322264433866,4.27403831606927e-09,5.31595387889771e-07
"K00840",60.7698658819856,-4.32142541067411,0.736802908356503,-5.86510362766263,4.48852280807735e-09,5.46136133843673e-07
"K07810",168.621788727886,-3.6076129621716,0.615557586157802,-5.86072374591249,4.60854113278076e-09,5.4880861106753e-07
"K23181",80.6486724839708,-4.37852310452484,0.748177150119127,-5.85225451462622,4.84953736047249e-09,5.55447007662115e-07
"K01175",112.14477881055,-3.43764359741111,0.587450474289155,-5.85180155241314,4.86276637045625e-09,5.55447007662115e-07
"K04065",337.849220121969,-3.13725977513373,0.537116859542902,-5.84092589795748,5.19114928541784e-09,5.62841471988791e-07
"K02317",201.66419237881,-3.85710399206136,0.660469926649695,-5.83993886235962,5.22199819676979e-09,5.62841471988791e-07
"K15034",154.998365496421,-3.59125838544177,0.615454062060468,-5.8351363762531,5.37465881331046e-09,5.62841471988791e-07
"K02686",203.495158595116,-2.95767489982884,0.50692342895772,-5.8345594834906,5.39328653485671e-09,5.62841471988791e-07
"K02504",85.8748493830265,-3.9362752483835,0.674780173934682,-5.83341864570628,5.43030900257186e-09,5.62841471988791e-07
"K01716",129.761080101521,-3.27295850096333,0.562148552503721,-5.82223059436174,5.80673552286169e-09,5.90914522208307e-07
"K05596",142.050577339672,-3.43308480978844,0.590687947769251,-5.81201093192027,6.17268085407305e-09,6.03348284527864e-07
"K03591",171.9214171044,-3.36790033437013,0.579777651127072,-5.8089516348604,6.28652450894769e-09,6.03348284527864e-07
"K11742",107.792630773955,-3.631904370489,0.625244071737332,-5.80877857889515,6.293024997734e-09,6.03348284527864e-07
"K19688",111.835594315224,-3.72325323738323,0.641199477525771,-5.80670036062776,6.37160147823402e-09,6.03348284527864e-07
"K07490",156.996161501941,-3.61453266868231,0.622954523088265,-5.80224163196287,6.54341736256124e-09,6.03348284527864e-07
"K07261",217.86357402828,-3.44802636061399,0.594587692170443,-5.79902074331129,6.67032820463033e-09,6.03348284527864e-07
"K10001",122.318792235429,-3.68301946642475,0.635146847203977,-5.79868967725813,6.68350788649769e-09,6.03348284527864e-07
"K06415",159.242399423335,-3.38890373892282,0.584811624923988,-5.79486384075094,6.83766327484709e-09,6.07466688084431e-07
"K01058",182.668302762997,-3.25195170207464,0.561436275572097,-5.79220090251729,6.94699707046445e-09,6.07536603177961e-07
"K06211",240.732772591979,-2.41343054692163,0.41710462941779,-5.78615142749767,7.2017298884156e-09,6.1315983921818e-07
"K10748",126.781779432356,-3.81128223783906,0.658766402249596,-5.78548363247437,7.23040010512773e-09,6.1315983921818e-07
"K19000",150.812522804809,-3.73314018087722,0.646275796395345,-5.7763886589891,7.63209657516386e-09,6.36968858100565e-07
"K06165",249.783755514513,-3.05616865950527,0.529302581604222,-5.7739538134172,7.74326700265771e-09,6.36968858100565e-07
"K07390",123.380408456505,-3.24871455601275,0.562880077294124,-5.77159271941187,7.8525730228585e-09,6.36968858100565e-07
"K07278",175.200542248534,-3.131363954636,0.542875382157713,-5.76810822069345,8.01663229716756e-09,6.40356865517144e-07
"K09978",117.301008970577,-3.69667253289691,0.641319400822937,-5.76416763340289,8.20618210402941e-09,6.40356865517144e-07
"K01194",367.554958339277,-3.58433516875178,0.621984104667566,-5.76274400238494,8.27572726817693e-09,6.40356865517144e-07
"K02344",174.059145814723,-3.29038282150188,0.571344288412477,-5.7590193657916,8.46039967642258e-09,6.40356865517144e-07
"K00216",158.93045300754,-3.63286615752275,0.630826423131068,-5.75889979289587,8.46639414834172e-09,6.40356865517144e-07
"K05812",149.214498735239,-3.54893511800866,0.616627326639727,-5.75539708457029,8.64383695138762e-09,6.45060738892221e-07
"K04772",249.174667592846,-3.54214118738074,0.616100827976734,-5.74928814657348,8.96199699637448e-09,6.51515194368403e-07
"K00299",143.303962435047,-3.56425450807047,0.620031723243226,-5.74850346273699,9.00368024855505e-09,6.51515194368403e-07
