genome	name1	name2	coverage_overlap	compared_bases_count	consensus_SNPs	population_SNPs	popANI	conANI	percent_compared
MAG001	i02S3.sorted.bam	i02SM01.sorted.bam	0.994868483586021	2274742	10093	57	0.9999749422132268	0.9955630132999699	0.9659156581434227
MAG001	i02S3.sorted.bam	i04S3.sorted.bam	0.9865513429055871	2278109	9958	165	0.9999275715077725	0.9956288307539279	0.967345375456845
MAG001	i02S3.sorted.bam	i09S2.sorted.bam	0.9903079085607314	2276709	10628	3612	0.9984134994854414	0.9953318583973622	0.966750898403447
MAG001	i02S3.sorted.bam	i09S3.sorted.bam	0.990154249110263	2274994	10580	3613	0.9984118639433774	0.9953494382842328	0.9660226640130344
MAG001	i02S3.sorted.bam	i10S3.sorted.bam	0.9870555367681649	2258941	10671	3583	0.9984138585292843	0.9952761050421415	0.9592061353428922
MAG001	i02S3.sorted.bam	i10SM01.sorted.bam	0.987950044164005	2258660	9711	128	0.9999433292306058	0.9957005481125978	0.9590868153057459
MAG001	i02S3.sorted.bam	i14SM01.sorted.bam	0.971772766923551	2211414	10044	2724	0.9987682089378108	0.995458109607699	0.9390249132594285
MAG001	i02S3.sorted.bam	i19S3.sorted.bam	0.9826842345180149	2241250	10692	3050	0.9986391522587842	0.9952294478527607	0.9516940685202744
MAG001	i02S3.sorted.bam	i21S3.sorted.bam	0.9802125788261243	2279540	11640	4620	0.997973275309931	0.9948937066250209	0.9679530159307111
MAG001	i02S3.sorted.bam	i21SM01.sorted.bam	0.9802806352245612	2280090	11639	3340	0.9985351455425006	0.9948953769368754	0.9681865604874033
MAG001	i02S3.sorted.bam	i22S3.sorted.bam	0.9899507699659323	2265950	10007	2295	0.9989871797700743	0.9955837507447207	0.962182342248083
MAG001	i02S3.sorted.bam	i23S2.sorted.bam	0.9859846647134264	2260033	7919	166	0.9999265497450701	0.9964960688627112	0.9596698274445428
MAG001	i02S3.sorted.bam	i23S3.sorted.bam	0.9809639713603898	2236711	2651	24	0.9999892699593287	0.9988147775908466	0.9497666889878646
MAG001	i02S3.sorted.bam	i25S3.sorted.bam	0.9274048082468946	2110964	19448	8273	0.9960809374295345	0.9907871474833299	0.8963711846781183
MAG001	i02S3.sorted.bam	i25SM01.sorted.bam	0.8964764394500189	2042722	10861	3165	0.9984505968017184	0.9946830748383774	0.867393825336697
MAG001	i02S3.sorted.bam	i28S3.sorted.bam	0.7720491415897421	1761222	8222	2508	0.998575988716925	0.9953316504109079	0.7478614749570172
MAG001	i02S3.sorted.bam	i30SM01.sorted.bam	0.9857046505641699	2250885	10552	3391	0.9984934814528508	0.9953120661428727	0.9557853445270532
MAG001	i02S3.sorted.bam	i32S2.sorted.bam	0.9887121581815248	2278389	2321	96	0.9999578649651135	0.9989812977502964	0.9674642708675246
MAG001	i02S3.sorted.bam	i32S3.sorted.bam	0.9891961631577214	2278269	2815	117	0.9999486452214379	0.9987644128063894	0.9674133156915191
MAG001	i02S3.sorted.bam	i32SM01.sorted.bam	0.9918210071602994	2265923	7922	65	0.9999713141179113	0.9965038529552858	0.9621708773334817
MAG001	i02SM01.sorted.bam	i04S3.sorted.bam	0.9866531512883727	2278495	7147	141	0.9999381170465592	0.9968632803670844	0.9675092812729962
MAG001	i02SM01.sorted.bam	i09S2.sorted.bam	0.9903114743378759	2277423	7823	3083	0.9986462769542592	0.9965649771693709	0.96705408170068
MAG001	i02SM01.sorted.bam	i09S3.sorted.bam	0.9901901293576066	2275762	7773	3078	0.998647485984914	0.9965844407279847	0.9663487771394699
MAG001	i02SM01.sorted.bam	i10S3.sorted.bam	0.9856491912793856	2258025	7780	3142	0.9986085185062167	0.9965545111325163	0.9588171774993832
MAG001	i02SM01.sorted.bam	i10SM01.sorted.bam	0.9891289643483722	2260949	6706	118	0.9999478095259999	0.9970339888250465	0.9600587852880518
MAG001	i02SM01.sorted.bam	i14SM01.sorted.bam	0.9717552351376175	2212493	6844	2275	0.9989717481592032	0.9969066568798184	0.9394830852170117
MAG001	i02SM01.sorted.bam	i19S3.sorted.bam	0.9815206803325323	2240394	7767	2814	0.9987439709265424	0.9965331990712348	0.9513305882647682
MAG001	i02SM01.sorted.bam	i21S3.sorted.bam	0.9816713975611472	2281026	9205	3993	0.9982494719481496	0.9959645352573798	0.9685840108602465
MAG001	i02SM01.sorted.bam	i21SM01.sorted.bam	0.9817815296984602	2281605	9203	2886	0.9987351009486742	0.995966435908056	0.9688298695844733
MAG001	i02SM01.sorted.bam	i22S3.sorted.bam	0.9883406713388895	2264457	6811	1212	0.9994647723493977	0.9969922149106828	0.9615483749332806
MAG001	i02SM01.sorted.bam	i23S2.sorted.bam	0.9839543270495693	2257848	8485	501	0.9997781072950881	0.9962419968040364	0.958742018614775
MAG001	i02SM01.sorted.bam	i23S3.sorted.bam	0.9791530874947092	2235523	11325	1067	0.9995227067670518	0.9949340713560093	0.9492622327454097
MAG001	i02SM01.sorted.bam	i25S3.sorted.bam	0.9259314441054809	2109898	18254	7859	0.9962751753876253	0.9913483969367239	0.8959185328646023
MAG001	i02SM01.sorted.bam	i25SM01.sorted.bam	0.8960842667671952	2043181	7663	2599	0.9987279638955139	0.996249475695007	0.8675887288849181
MAG001	i02SM01.sorted.bam	i28S3.sorted.bam	0.7722055553609442	1762121	6018	2277	0.9987078072391169	0.9965847975252551	0.748243214150592
MAG001	i02SM01.sorted.bam	i30SM01.sorted.bam	0.9843764519951881	2250136	7679	2948	0.9986898569686454	0.9965873173888156	0.9554672993034852
MAG001	i02SM01.sorted.bam	i32S2.sorted.bam	0.9874565180361515	2277048	11362	151	0.9999336860707372	0.9950102061967951	0.9668948467756626
MAG001	i02SM01.sorted.bam	i32S3.sorted.bam	0.9877582666302362	2276799	10809	171	0.9999248945559094	0.995252545349853	0.9667891147854512
MAG001	i02SM01.sorted.bam	i32SM01.sorted.bam	0.9913895288380123	2266343	4198	40	0.9999823504209204	0.9981476766755959	0.9623492204495011
MAG001	i04S3.sorted.bam	i09S2.sorted.bam	0.9905726187604196	2292023	5855	1790	0.9992190305245628	0.9974454881124666	0.9732536281146882
MAG001	i04S3.sorted.bam	i09S3.sorted.bam	0.9897223824144247	2289336	5780	1780	0.999222481977307	0.9974752504656372	0.9721126567986307
MAG001	i04S3.sorted.bam	i10S3.sorted.bam	0.9836993900056624	2269007	6489	2003	0.9991172349842905	0.9971401586685277	0.9634804253568242
MAG001	i04S3.sorted.bam	i10SM01.sorted.bam	0.9800981068579985	2263301	2706	55	0.9999756992110197	0.9988044011821671	0.9610575067377605
MAG001	i04S3.sorted.bam	i14SM01.sorted.bam	0.9663577294215127	2217978	5884	1288	0.999419290903697	0.9973471332898703	0.9418121613869319
